"epoch","yv5s-coco-zipf-mixup0.3 - _step","yv5s-coco-zipf-mixup0.3 - _step__MIN","yv5s-coco-zipf-mixup0.3 - _step__MAX","yv5s-coco-zipf-mixup0.3 - map","yv5s-coco-zipf-mixup0.3 - map__MIN","yv5s-coco-zipf-mixup0.3 - map__MAX","yv5s-coco-zipf-no-mosaic - _step","yv5s-coco-zipf-no-mosaic - _step__MIN","yv5s-coco-zipf-no-mosaic - _step__MAX","yv5s-coco-zipf-no-mosaic - map","yv5s-coco-zipf-no-mosaic - map__MIN","yv5s-coco-zipf-no-mosaic - map__MAX","yv5s-coco-zipf - _step","yv5s-coco-zipf - _step__MIN","yv5s-coco-zipf - _step__MAX","yv5s-coco-zipf - map","yv5s-coco-zipf - map__MIN","yv5s-coco-zipf - map__MAX"
"42","519","519","519","0.21778287523207818","0.21778287523207818","0.21778287523207818","519","519","519","0.17095938915171657","0.17095938915171657","0.17095938915171657","519","519","519","0.22423894079608012","0.22423894079608012","0.22423894079608012"
"43","531","531","531","0.22896376140158137","0.22896376140158137","0.22896376140158137","531","531","531","0.17862420068141616","0.17862420068141616","0.17862420068141616","531","531","531","0.23107117073175412","0.23107117073175412","0.23107117073175412"
"44","543","543","543","0.21258647558098379","0.21258647558098379","0.21258647558098379","543","543","543","0.16988852158069304","0.16988852158069304","0.16988852158069304","543","543","543","0.2354581373235796","0.2354581373235796","0.2354581373235796"
"45","555","555","555","0.22233940878447372","0.22233940878447372","0.22233940878447372","555","555","555","0.16333285578921783","0.16333285578921783","0.16333285578921783","555","555","555","0.23359576216023178","0.23359576216023178","0.23359576216023178"
"46","567","567","567","0.23407651688625916","0.23407651688625916","0.23407651688625916","567","567","567","0.1892007240174592","0.1892007240174592","0.1892007240174592","567","567","567","0.22798667786674445","0.22798667786674445","0.22798667786674445"
"47","579","579","579","0.2236327756154777","0.2236327756154777","0.2236327756154777","579","579","579","0.17678344380958694","0.17678344380958694","0.17678344380958694","579","579","579","0.2368990627319534","0.2368990627319534","0.2368990627319534"
"48","591","591","591","0.22756717997842862","0.22756717997842862","0.22756717997842862","591","591","591","0.19645202915406218","0.19645202915406218","0.19645202915406218","591","591","591","0.2077873540653699","0.2077873540653699","0.2077873540653699"
"49","604","604","604","0.2273593847201524","0.2273593847201524","0.2273593847201524","604","604","604","0.19562525157257954","0.19562525157257954","0.19562525157257954","604","604","604","0.24028785829646224","0.24028785829646224","0.24028785829646224"
"50","616","616","616","0.23663788405344915","0.23663788405344915","0.23663788405344915","616","616","616","0.1824885353487663","0.1824885353487663","0.1824885353487663","616","616","616","0.21849965485609768","0.21849965485609768","0.21849965485609768"
"51","628","628","628","0.2261843130370535","0.2261843130370535","0.2261843130370535","628","628","628","0.18970136352709535","0.18970136352709535","0.18970136352709535","628","628","628","0.24764415381598043","0.24764415381598043","0.24764415381598043"
"52","640","640","640","0.23285269728787433","0.23285269728787433","0.23285269728787433","640","640","640","0.19209495099148757","0.19209495099148757","0.19209495099148757","640","640","640","0.24202023138246923","0.24202023138246923","0.24202023138246923"
"53","652","652","652","0.23521194795475414","0.23521194795475414","0.23521194795475414","652","652","652","0.19187154692371228","0.19187154692371228","0.19187154692371228","652","652","652","0.2259059805694681","0.2259059805694681","0.2259059805694681"
"54","664","664","664","0.2425711358747306","0.2425711358747306","0.2425711358747306","664","664","664","0.1863811402510203","0.1863811402510203","0.1863811402510203","664","664","664","0.24259969291551098","0.24259969291551098","0.24259969291551098"
"55","676","676","676","0.23278054767183862","0.23278054767183862","0.23278054767183862","676","676","676","0.19972352468972598","0.19972352468972598","0.19972352468972598","676","676","676","0.24144022557122125","0.24144022557122125","0.24144022557122125"
"56","688","688","688","0.2371405815915374","0.2371405815915374","0.2371405815915374","688","688","688","0.17593296346876994","0.17593296346876994","0.17593296346876994","688","688","688","0.23147886900538248","0.23147886900538248","0.23147886900538248"
"57","700","700","700","0.235142635492372","0.235142635492372","0.235142635492372","700","700","700","0.19500375471190026","0.19500375471190026","0.19500375471190026","700","700","700","0.23944991128937168","0.23944991128937168","0.23944991128937168"
"58","712","712","712","0.22514752956719955","0.22514752956719955","0.22514752956719955","712","712","712","0.19066752910653012","0.19066752910653012","0.19066752910653012","712","712","712","0.2459424063190677","0.2459424063190677","0.2459424063190677"
"59","725","725","725","0.24708053586858192","0.24708053586858192","0.24708053586858192","725","725","725","0.19830200717508478","0.19830200717508478","0.19830200717508478","725","725","725","0.2392459818527371","0.2392459818527371","0.2392459818527371"
"60","737","737","737","0.22441359597321006","0.22441359597321006","0.22441359597321006","737","737","737","0.19517660133809644","0.19517660133809644","0.19517660133809644","737","737","737","0.25562642054264895","0.25562642054264895","0.25562642054264895"
"61","749","749","749","0.24392760438686192","0.24392760438686192","0.24392760438686192","749","749","749","0.1789478452857394","0.1789478452857394","0.1789478452857394","749","749","749","0.2463826407400531","0.2463826407400531","0.2463826407400531"
"62","761","761","761","0.2344628366253699","0.2344628366253699","0.2344628366253699","761","761","761","0.2055125522837203","0.2055125522837203","0.2055125522837203","761","761","761","0.24035615016971962","0.24035615016971962","0.24035615016971962"
"63","773","773","773","0.2468611361253899","0.2468611361253899","0.2468611361253899","773","773","773","0.19530528147910917","0.19530528147910917","0.19530528147910917","773","773","773","0.23956253206350558","0.23956253206350558","0.23956253206350558"
"64","785","785","785","0.24821500313720937","0.24821500313720937","0.24821500313720937","785","785","785","0.19500088709233518","0.19500088709233518","0.19500088709233518","785","785","785","0.2410369967012344","0.2410369967012344","0.2410369967012344"
"65","797","797","797","0.2520406425280828","0.2520406425280828","0.2520406425280828","797","797","797","0.2065834205959998","0.2065834205959998","0.2065834205959998","797","797","797","0.2577327967114571","0.2577327967114571","0.2577327967114571"
"66","809","809","809","0.2556621063484622","0.2556621063484622","0.2556621063484622","809","809","809","0.19728389624849293","0.19728389624849293","0.19728389624849293","809","809","809","0.24694275998054946","0.24694275998054946","0.24694275998054946"
"67","821","821","821","0.24733770938110605","0.24733770938110605","0.24733770938110605","821","821","821","0.2178326564007731","0.2178326564007731","0.2178326564007731","821","821","821","0.25484937469318086","0.25484937469318086","0.25484937469318086"
"68","833","833","833","0.25521866917649094","0.25521866917649094","0.25521866917649094","833","833","833","0.19440016719947942","0.19440016719947942","0.19440016719947942","833","833","833","0.25411836591273507","0.25411836591273507","0.25411836591273507"
"69","846","846","846","0.25592962854230494","0.25592962854230494","0.25592962854230494","846","846","846","0.20633913822660013","0.20633913822660013","0.20633913822660013","846","846","846","0.25218812765704907","0.25218812765704907","0.25218812765704907"
"70","858","858","858","0.25599945920816713","0.25599945920816713","0.25599945920816713","858","858","858","0.20115805444834414","0.20115805444834414","0.20115805444834414","858","858","858","0.24740824375840662","0.24740824375840662","0.24740824375840662"
"71","870","870","870","0.2510136521794867","0.2510136521794867","0.2510136521794867","870","870","870","0.20022134657143797","0.20022134657143797","0.20022134657143797","870","870","870","0.25120186132563704","0.25120186132563704","0.25120186132563704"
"72","882","882","882","0.2590646922941143","0.2590646922941143","0.2590646922941143","882","882","882","0.20660176867201158","0.20660176867201158","0.20660176867201158","882","882","882","0.2659797285567448","0.2659797285567448","0.2659797285567448"
"73","894","894","894","0.2568707552760923","0.2568707552760923","0.2568707552760923","894","894","894","0.19950076643929016","0.19950076643929016","0.19950076643929016","894","894","894","0.24497873704886303","0.24497873704886303","0.24497873704886303"
"74","906","906","906","0.27229379762816613","0.27229379762816613","0.27229379762816613","906","906","906","0.20693533708436548","0.20693533708436548","0.20693533708436548","906","906","906","0.2581557522285107","0.2581557522285107","0.2581557522285107"
"75","918","918","918","0.25276314113888054","0.25276314113888054","0.25276314113888054","918","918","918","0.180464976425254","0.180464976425254","0.180464976425254","918","918","918","0.2502939046456834","0.2502939046456834","0.2502939046456834"
"76","930","930","930","0.24822042889424303","0.24822042889424303","0.24822042889424303","930","930","930","0.21364105881261303","0.21364105881261303","0.21364105881261303","930","930","930","0.24392118791357129","0.24392118791357129","0.24392118791357129"
"77","942","942","942","0.27241613974214113","0.27241613974214113","0.27241613974214113","942","942","942","0.20869537545557607","0.20869537545557607","0.20869537545557607","942","942","942","0.2661397469954419","0.2661397469954419","0.2661397469954419"
"78","954","954","954","0.2538613221011037","0.2538613221011037","0.2538613221011037","954","954","954","0.2027685941517399","0.2027685941517399","0.2027685941517399","954","954","954","0.25877881530733204","0.25877881530733204","0.25877881530733204"
"79","967","967","967","0.2608506978385965","0.2608506978385965","0.2608506978385965","967","967","967","0.2116683765154459","0.2116683765154459","0.2116683765154459","967","967","967","0.25955710979292296","0.25955710979292296","0.25955710979292296"
"80","979","979","979","0.264279505591585","0.264279505591585","0.264279505591585","979","979","979","0.20535509008067188","0.20535509008067188","0.20535509008067188","979","979","979","0.2658664820277444","0.2658664820277444","0.2658664820277444"
"81","991","991","991","0.251859831803986","0.251859831803986","0.251859831803986","991","991","991","0.1888558979592781","0.1888558979592781","0.1888558979592781","991","991","991","0.2645328118822728","0.2645328118822728","0.2645328118822728"
"82","1003","1003","1003","0.26147391582457336","0.26147391582457336","0.26147391582457336","1003","1003","1003","0.20801613551420273","0.20801613551420273","0.20801613551420273","1003","1003","1003","0.2514249454971695","0.2514249454971695","0.2514249454971695"
"83","1015","1015","1015","0.25972745344387865","0.25972745344387865","0.25972745344387865","1015","1015","1015","0.19956371471674816","0.19956371471674816","0.19956371471674816","1015","1015","1015","0.2641261616532047","0.2641261616532047","0.2641261616532047"
"84","1027","1027","1027","0.26126295947806605","0.26126295947806605","0.26126295947806605","1027","1027","1027","0.20427708004803266","0.20427708004803266","0.20427708004803266","1027","1027","1027","0.2654760325444905","0.2654760325444905","0.2654760325444905"
"85","1039","1039","1039","0.25878031884648145","0.25878031884648145","0.25878031884648145","1039","1039","1039","0.22088407010679167","0.22088407010679167","0.22088407010679167","1039","1039","1039","0.25039941822526535","0.25039941822526535","0.25039941822526535"
"86","1051","1051","1051","0.27571615177663156","0.27571615177663156","0.27571615177663156","1051","1051","1051","0.20836161881716136","0.20836161881716136","0.20836161881716136","1051","1051","1051","0.2687806268181375","0.2687806268181375","0.2687806268181375"
"87","1063","1063","1063","0.2712336593263025","0.2712336593263025","0.2712336593263025","1063","1063","1063","0.19808296820970606","0.19808296820970606","0.19808296820970606","1063","1063","1063","0.24976637086479683","0.24976637086479683","0.24976637086479683"
"88","1075","1075","1075","0.26592389982218295","0.26592389982218295","0.26592389982218295","1075","1075","1075","0.21126949766308548","0.21126949766308548","0.21126949766308548","1075","1075","1075","0.2753487492679371","0.2753487492679371","0.2753487492679371"
"89","1088","1088","1088","0.273529547627345","0.273529547627345","0.273529547627345","1088","1088","1088","0.20534926867400907","0.20534926867400907","0.20534926867400907","1088","1088","1088","0.2613162369861587","0.2613162369861587","0.2613162369861587"
"90","1100","1100","1100","0.26485154902416175","0.26485154902416175","0.26485154902416175","1100","1100","1100","0.21519112571793736","0.21519112571793736","0.21519112571793736","1100","1100","1100","0.25990505793824964","0.25990505793824964","0.25990505793824964"
"91","1112","1112","1112","0.26311725439056605","0.26311725439056605","0.26311725439056605","1112","1112","1112","0.19656647646234032","0.19656647646234032","0.19656647646234032","1112","1112","1112","0.2744435292239256","0.2744435292239256","0.2744435292239256"
"92","1124","1124","1124","0.27179355947609785","0.27179355947609785","0.27179355947609785","1124","1124","1124","0.2120043836784903","0.2120043836784903","0.2120043836784903","1124","1124","1124","0.24961021267305128","0.24961021267305128","0.24961021267305128"
"93","1136","1136","1136","0.27245981403943914","0.27245981403943914","0.27245981403943914","1136","1136","1136","0.20613915951531903","0.20613915951531903","0.20613915951531903","1136","1136","1136","0.2638066237430078","0.2638066237430078","0.2638066237430078"
"94","1148","1148","1148","0.260847362221972","0.260847362221972","0.260847362221972","1148","1148","1148","0.21222221236986374","0.21222221236986374","0.21222221236986374","1148","1148","1148","0.2600990494825983","0.2600990494825983","0.2600990494825983"
"95","1160","1160","1160","0.2727735504574525","0.2727735504574525","0.2727735504574525","1160","1160","1160","0.21762741784551537","0.21762741784551537","0.21762741784551537","1160","1160","1160","0.24916697063710538","0.24916697063710538","0.24916697063710538"
"96","1172","1172","1172","0.27789013349973524","0.27789013349973524","0.27789013349973524","1172","1172","1172","0.22414734660080504","0.22414734660080504","0.22414734660080504","1172","1172","1172","0.27775454838100505","0.27775454838100505","0.27775454838100505"
"97","1184","1184","1184","0.2821135304725922","0.2821135304725922","0.2821135304725922","1184","1184","1184","0.22287888927831315","0.22287888927831315","0.22287888927831315","1184","1184","1184","0.26647414940454694","0.26647414940454694","0.26647414940454694"
"98","1196","1196","1196","0.2758153072589958","0.2758153072589958","0.2758153072589958","1196","1196","1196","0.21521704721719265","0.21521704721719265","0.21521704721719265","1196","1196","1196","0.2726676519637849","0.2726676519637849","0.2726676519637849"
"99","1209","1209","1209","0.2852497350773004","0.2852497350773004","0.2852497350773004","1209","1209","1209","0.22070050920161186","0.22070050920161186","0.22070050920161186","1209","1209","1209","0.26598245661163533","0.26598245661163533","0.26598245661163533"
"100","1221","1221","1221","0.2859457788802481","0.2859457788802481","0.2859457788802481","1221","1221","1221","0.21311664660161161","0.21311664660161161","0.21311664660161161","1221","1221","1221","0.27456446630770126","0.27456446630770126","0.27456446630770126"
"101","1233","1233","1233","0.27868312281221624","0.27868312281221624","0.27868312281221624","1233","1233","1233","0.2129003005544972","0.2129003005544972","0.2129003005544972","1233","1233","1233","0.2697410901195488","0.2697410901195488","0.2697410901195488"
"102","1245","1245","1245","0.2665543050329155","0.2665543050329155","0.2665543050329155","1245","1245","1245","0.21716389567944858","0.21716389567944858","0.21716389567944858","1245","1245","1245","0.2711367711971883","0.2711367711971883","0.2711367711971883"
"103","1257","1257","1257","0.28128495119088265","0.28128495119088265","0.28128495119088265","1257","1257","1257","0.22439942566950644","0.22439942566950644","0.22439942566950644","1257","1257","1257","0.2635523227288528","0.2635523227288528","0.2635523227288528"
"104","1269","1269","1269","0.28032190766457493","0.28032190766457493","0.28032190766457493","1269","1269","1269","0.20667208925430933","0.20667208925430933","0.20667208925430933","1269","1269","1269","0.2517991377226097","0.2517991377226097","0.2517991377226097"
"105","1281","1281","1281","0.2705629192565399","0.2705629192565399","0.2705629192565399","1281","1281","1281","0.2050113898058962","0.2050113898058962","0.2050113898058962","1281","1281","1281","0.2710695446886183","0.2710695446886183","0.2710695446886183"
"106","1293","1293","1293","0.28293371029841985","0.28293371029841985","0.28293371029841985","1293","1293","1293","0.2088177592404089","0.2088177592404089","0.2088177592404089","1293","1293","1293","0.27191308490764654","0.27191308490764654","0.27191308490764654"
"107","1305","1305","1305","0.2899854436100668","0.2899854436100668","0.2899854436100668","1305","1305","1305","0.2228201500451913","0.2228201500451913","0.2228201500451913","1305","1305","1305","0.2794295482302749","0.2794295482302749","0.2794295482302749"
"108","1317","1317","1317","0.2780888652218516","0.2780888652218516","0.2780888652218516","1317","1317","1317","0.21406476961467472","0.21406476961467472","0.21406476961467472","1317","1317","1317","0.27087264258245475","0.27087264258245475","0.27087264258245475"
"109","1330","1330","1330","0.28704376333044734","0.28704376333044734","0.28704376333044734","1330","1330","1330","0.21721550637676112","0.21721550637676112","0.21721550637676112","1330","1330","1330","0.27696092906683495","0.27696092906683495","0.27696092906683495"
"110","1342","1342","1342","0.2786197385310149","0.2786197385310149","0.2786197385310149","1342","1342","1342","0.21907914117075417","0.21907914117075417","0.21907914117075417","1342","1342","1342","0.27208775229969434","0.27208775229969434","0.27208775229969434"
"111","1354","1354","1354","0.2850369594742163","0.2850369594742163","0.2850369594742163","1354","1354","1354","0.22527766850648306","0.22527766850648306","0.22527766850648306","1354","1354","1354","0.28884451645361986","0.28884451645361986","0.28884451645361986"
"112","1366","1366","1366","0.28924872149555547","0.28924872149555547","0.28924872149555547","1366","1366","1366","0.2218112328222494","0.2218112328222494","0.2218112328222494","1366","1366","1366","0.28103311991538554","0.28103311991538554","0.28103311991538554"
"113","1378","1378","1378","0.28079166218799184","0.28079166218799184","0.28079166218799184","1378","1378","1378","0.2180090715647778","0.2180090715647778","0.2180090715647778","1378","1378","1378","0.2847039970648903","0.2847039970648903","0.2847039970648903"
"114","1390","1390","1390","0.281244238927733","0.281244238927733","0.281244238927733","1390","1390","1390","0.21632825558146718","0.21632825558146718","0.21632825558146718","1390","1390","1390","0.29170381490907876","0.29170381490907876","0.29170381490907876"
"115","1402","1402","1402","0.2952116941706422","0.2952116941706422","0.2952116941706422","1402","1402","1402","0.2231919422577843","0.2231919422577843","0.2231919422577843","1402","1402","1402","0.28488034176230154","0.28488034176230154","0.28488034176230154"
"116","1414","1414","1414","0.28349695441031403","0.28349695441031403","0.28349695441031403","1414","1414","1414","0.22469628930213886","0.22469628930213886","0.22469628930213886","1414","1414","1414","0.2804372026685479","0.2804372026685479","0.2804372026685479"
"117","1426","1426","1426","0.2719187176395321","0.2719187176395321","0.2719187176395321","1426","1426","1426","0.21654542504412852","0.21654542504412852","0.21654542504412852","1426","1426","1426","0.2688582676035224","0.2688582676035224","0.2688582676035224"
"118","1438","1438","1438","0.2907422953298478","0.2907422953298478","0.2907422953298478","1438","1438","1438","0.2245335640123739","0.2245335640123739","0.2245335640123739","1438","1438","1438","0.2710021271422488","0.2710021271422488","0.2710021271422488"
"119","1451","1451","1451","0.29050031606372695","0.29050031606372695","0.29050031606372695","1451","1451","1451","0.22300985469831947","0.22300985469831947","0.22300985469831947","1451","1451","1451","0.27618136884376165","0.27618136884376165","0.27618136884376165"
"120","1463","1463","1463","0.2901125228808459","0.2901125228808459","0.2901125228808459","1463","1463","1463","0.23211882873861686","0.23211882873861686","0.23211882873861686","1463","1463","1463","0.27581673092608655","0.27581673092608655","0.27581673092608655"
"121","1475","1475","1475","0.28862660698979614","0.28862660698979614","0.28862660698979614","1475","1475","1475","0.2270332430572699","0.2270332430572699","0.2270332430572699","1475","1475","1475","0.28423053548381616","0.28423053548381616","0.28423053548381616"
"122","1487","1487","1487","0.26819052874479243","0.26819052874479243","0.26819052874479243","1487","1487","1487","0.22216639245325415","0.22216639245325415","0.22216639245325415","1487","1487","1487","0.2741597595546695","0.2741597595546695","0.2741597595546695"
"123","1499","1499","1499","0.2832425990990847","0.2832425990990847","0.2832425990990847","1499","1499","1499","0.2127486308906853","0.2127486308906853","0.2127486308906853","1499","1499","1499","0.2746828385235683","0.2746828385235683","0.2746828385235683"
