"epoch","yv5s-coco-zipf-loss-weights-tuned - _step","yv5s-coco-zipf-loss-weights-tuned - _step__MIN","yv5s-coco-zipf-loss-weights-tuned - _step__MAX","yv5s-coco-zipf-loss-weights-tuned - map","yv5s-coco-zipf-loss-weights-tuned - map__MIN","yv5s-coco-zipf-loss-weights-tuned - map__MAX","yv5s-coco-zipf-loss-weights - _step","yv5s-coco-zipf-loss-weights - _step__MIN","yv5s-coco-zipf-loss-weights - _step__MAX","yv5s-coco-zipf-loss-weights - map","yv5s-coco-zipf-loss-weights - map__MIN","yv5s-coco-zipf-loss-weights - map__MAX","yv5s-coco-zipf - _step","yv5s-coco-zipf - _step__MIN","yv5s-coco-zipf - _step__MAX","yv5s-coco-zipf - map","yv5s-coco-zipf - map__MIN","yv5s-coco-zipf - map__MAX"
"14","180","180","180","0.10840658098459244","0.10840658098459244","0.10840658098459244","180","180","180","0.055232904851436615","0.055232904851436615","0.055232904851436615","180","180","180","0.13144993364843832","0.13144993364843832","0.13144993364843832"
"15","192","192","192","0.12796345353126526","0.12796345353126526","0.12796345353126526","192","192","192","0.055733487010002136","0.055733487010002136","0.055733487010002136","192","192","192","0.14084643513602368","0.14084643513602368","0.14084643513602368"
"16","204","204","204","0.13478688895702362","0.13478688895702362","0.13478688895702362","204","204","204","0.06126196309924126","0.06126196309924126","0.06126196309924126","204","204","204","0.1508383308871487","0.1508383308871487","0.1508383308871487"
"17","216","216","216","0.13891908526420593","0.13891908526420593","0.13891908526420593","216","216","216","0.06868038326501846","0.06868038326501846","0.06868038326501846","216","216","216","0.15227538590827422","0.15227538590827422","0.15227538590827422"
"18","228","228","228","0.13278131186962128","0.13278131186962128","0.13278131186962128","228","228","228","0.07300465553998947","0.07300465553998947","0.07300465553998947","228","228","228","0.14580788954994645","0.14580788954994645","0.14580788954994645"
"19","241","241","241","0.12439461052417755","0.12439461052417755","0.12439461052417755","241","241","241","0.07947571575641632","0.07947571575641632","0.07947571575641632","241","241","241","0.17352090004918702","0.17352090004918702","0.17352090004918702"
"20","253","253","253","0.12818072736263275","0.12818072736263275","0.12818072736263275","253","253","253","0.0773877277970314","0.0773877277970314","0.0773877277970314","253","253","253","0.16673111551532913","0.16673111551532913","0.16673111551532913"
"21","265","265","265","0.15426155924797058","0.15426155924797058","0.15426155924797058","265","265","265","0.07244164496660233","0.07244164496660233","0.07244164496660233","265","265","265","0.1673112996538246","0.1673112996538246","0.1673112996538246"
"22","277","277","277","0.14858286082744598","0.14858286082744598","0.14858286082744598","277","277","277","0.07839339971542358","0.07839339971542358","0.07839339971542358","277","277","277","0.1773498595621083","0.1773498595621083","0.1773498595621083"
"23","289","289","289","0.14631244540214539","0.14631244540214539","0.14631244540214539","289","289","289","0.08238833397626877","0.08238833397626877","0.08238833397626877","289","289","289","0.1864430356572996","0.1864430356572996","0.1864430356572996"
"24","301","301","301","0.15370461344718933","0.15370461344718933","0.15370461344718933","301","301","301","0.08680345863103867","0.08680345863103867","0.08680345863103867","301","301","301","0.1933598129471625","0.1933598129471625","0.1933598129471625"
"25","313","313","313","0.16240212321281433","0.16240212321281433","0.16240212321281433","313","313","313","0.08677739650011063","0.08677739650011063","0.08677739650011063","313","313","313","0.19946727955683227","0.19946727955683227","0.19946727955683227"
"26","325","325","325","0.143926203250885","0.143926203250885","0.143926203250885","325","325","325","0.08771634101867676","0.08771634101867676","0.08771634101867676","325","325","325","0.18337249818736454","0.18337249818736454","0.18337249818736454"
"27","337","337","337","0.17219018936157227","0.17219018936157227","0.17219018936157227","337","337","337","0.09824672341346741","0.09824672341346741","0.09824672341346741","337","337","337","0.1877473784762115","0.1877473784762115","0.1877473784762115"
"28","349","349","349","0.16550977528095245","0.16550977528095245","0.16550977528095245","349","349","349","0.09709646552801132","0.09709646552801132","0.09709646552801132","349","349","349","0.19722322273953174","0.19722322273953174","0.19722322273953174"
"29","362","362","362","0.1715749055147171","0.1715749055147171","0.1715749055147171","362","362","362","0.0922202467918396","0.0922202467918396","0.0922202467918396","362","362","362","0.19902596707030976","0.19902596707030976","0.19902596707030976"
"30","374","374","374","0.167974591255188","0.167974591255188","0.167974591255188","374","374","374","0.09327421337366104","0.09327421337366104","0.09327421337366104","374","374","374","0.19292625951250858","0.19292625951250858","0.19292625951250858"
"31","386","386","386","0.17367953062057495","0.17367953062057495","0.17367953062057495","386","386","386","0.10423660278320312","0.10423660278320312","0.10423660278320312","386","386","386","0.20866484271551522","0.20866484271551522","0.20866484271551522"
"32","398","398","398","0.17419539391994476","0.17419539391994476","0.17419539391994476","398","398","398","0.10438670217990875","0.10438670217990875","0.10438670217990875","398","398","398","0.2028007028084607","0.2028007028084607","0.2028007028084607"
"33","410","410","410","0.18540242314338684","0.18540242314338684","0.18540242314338684","410","410","410","0.1047743409872055","0.1047743409872055","0.1047743409872055","410","410","410","0.20881295590244237","0.20881295590244237","0.20881295590244237"
"34","422","422","422","0.1923041045665741","0.1923041045665741","0.1923041045665741","422","422","422","0.10337381064891815","0.10337381064891815","0.10337381064891815","422","422","422","0.21261248700806265","0.21261248700806265","0.21261248700806265"
"35","434","434","434","0.16100412607192993","0.16100412607192993","0.16100412607192993","434","434","434","0.100355364382267","0.100355364382267","0.100355364382267","434","434","434","0.2128245952431954","0.2128245952431954","0.2128245952431954"
"36","446","446","446","0.19572614133358002","0.19572614133358002","0.19572614133358002","446","446","446","0.10195101797580719","0.10195101797580719","0.10195101797580719","446","446","446","0.22144977659460155","0.22144977659460155","0.22144977659460155"
"37","458","458","458","0.13786564767360687","0.13786564767360687","0.13786564767360687","458","458","458","0.09834938496351242","0.09834938496351242","0.09834938496351242","458","458","458","0.22960299667217773","0.22960299667217773","0.22960299667217773"
"38","470","470","470","0.19969317317008972","0.19969317317008972","0.19969317317008972","470","470","470","0.10385969281196594","0.10385969281196594","0.10385969281196594","470","470","470","0.20643561059211626","0.20643561059211626","0.20643561059211626"
"39","483","483","483","0.18911699950695038","0.18911699950695038","0.18911699950695038","483","483","483","0.09940005093812943","0.09940005093812943","0.09940005093812943","483","483","483","0.21380370008011892","0.21380370008011892","0.21380370008011892"
"40","495","495","495","0.18284928798675537","0.18284928798675537","0.18284928798675537","495","495","495","0.11337844282388687","0.11337844282388687","0.11337844282388687","495","495","495","0.20553182363584277","0.20553182363584277","0.20553182363584277"
"41","507","507","507","0.18905538320541382","0.18905538320541382","0.18905538320541382","507","507","507","0.11397068947553635","0.11397068947553635","0.11397068947553635","507","507","507","0.22153333916424625","0.22153333916424625","0.22153333916424625"
"42","519","519","519","0.18850110471248627","0.18850110471248627","0.18850110471248627","519","519","519","0.10530824959278107","0.10530824959278107","0.10530824959278107","519","519","519","0.22423894079608012","0.22423894079608012","0.22423894079608012"
"43","531","531","531","0.205276221036911","0.205276221036911","0.205276221036911","531","531","531","0.11702413856983185","0.11702413856983185","0.11702413856983185","531","531","531","0.23107117073175412","0.23107117073175412","0.23107117073175412"
"44","543","543","543","0.197902649641037","0.197902649641037","0.197902649641037","543","543","543","0.1188773363828659","0.1188773363828659","0.1188773363828659","543","543","543","0.2354581373235796","0.2354581373235796","0.2354581373235796"
"45","555","555","555","0.19634734094142914","0.19634734094142914","0.19634734094142914","555","555","555","0.12156197428703308","0.12156197428703308","0.12156197428703308","555","555","555","0.23359576216023178","0.23359576216023178","0.23359576216023178"
"46","567","567","567","0.21294623613357544","0.21294623613357544","0.21294623613357544","567","567","567","0.12037992477416992","0.12037992477416992","0.12037992477416992","567","567","567","0.22798667786674445","0.22798667786674445","0.22798667786674445"
"47","579","579","579","0.2017461657524109","0.2017461657524109","0.2017461657524109","579","579","579","0.12092026323080063","0.12092026323080063","0.12092026323080063","579","579","579","0.2368990627319534","0.2368990627319534","0.2368990627319534"
"48","591","591","591","0.18228474259376526","0.18228474259376526","0.18228474259376526","591","591","591","0.13045494258403778","0.13045494258403778","0.13045494258403778","591","591","591","0.2077873540653699","0.2077873540653699","0.2077873540653699"
"49","604","604","604","0.2059602290391922","0.2059602290391922","0.2059602290391922","604","604","604","0.1254684180021286","0.1254684180021286","0.1254684180021286","604","604","604","0.24028785829646224","0.24028785829646224","0.24028785829646224"
"50","616","616","616","0.21811825037002563","0.21811825037002563","0.21811825037002563","616","616","616","0.127004936337471","0.127004936337471","0.127004936337471","616","616","616","0.21849965485609768","0.21849965485609768","0.21849965485609768"
"51","628","628","628","0.20696066319942474","0.20696066319942474","0.20696066319942474","628","628","628","0.1336195468902588","0.1336195468902588","0.1336195468902588","628","628","628","0.24764415381598043","0.24764415381598043","0.24764415381598043"
"52","640","640","640","0.18983294069766998","0.18983294069766998","0.18983294069766998","640","640","640","0.13207927346229553","0.13207927346229553","0.13207927346229553","640","640","640","0.24202023138246923","0.24202023138246923","0.24202023138246923"
"53","652","652","652","0.2208462357521057","0.2208462357521057","0.2208462357521057","652","652","652","0.13452276587486267","0.13452276587486267","0.13452276587486267","652","652","652","0.2259059805694681","0.2259059805694681","0.2259059805694681"
"54","664","664","664","0.21916413307189941","0.21916413307189941","0.21916413307189941","664","664","664","0.13869887590408325","0.13869887590408325","0.13869887590408325","664","664","664","0.24259969291551098","0.24259969291551098","0.24259969291551098"
"55","676","676","676","0.21761178970336914","0.21761178970336914","0.21761178970336914","676","676","676","0.13413195312023163","0.13413195312023163","0.13413195312023163","676","676","676","0.24144022557122125","0.24144022557122125","0.24144022557122125"
"56","688","688","688","0.2094435840845108","0.2094435840845108","0.2094435840845108","688","688","688","0.1361435502767563","0.1361435502767563","0.1361435502767563","688","688","688","0.23147886900538248","0.23147886900538248","0.23147886900538248"
"57","700","700","700","0.2138180434703827","0.2138180434703827","0.2138180434703827","700","700","700","0.1290713995695114","0.1290713995695114","0.1290713995695114","700","700","700","0.23944991128937168","0.23944991128937168","0.23944991128937168"
"58","712","712","712","0.21592868864536285","0.21592868864536285","0.21592868864536285","712","712","712","0.1385246068239212","0.1385246068239212","0.1385246068239212","712","712","712","0.2459424063190677","0.2459424063190677","0.2459424063190677"
"59","725","725","725","0.216839000582695","0.216839000582695","0.216839000582695","725","725","725","0.136911079287529","0.136911079287529","0.136911079287529","725","725","725","0.2392459818527371","0.2392459818527371","0.2392459818527371"
"60","737","737","737","0.2150927186012268","0.2150927186012268","0.2150927186012268","737","737","737","0.13463188707828522","0.13463188707828522","0.13463188707828522","737","737","737","0.25562642054264895","0.25562642054264895","0.25562642054264895"
"61","749","749","749","0.23300857841968536","0.23300857841968536","0.23300857841968536","749","749","749","0.1465761959552765","0.1465761959552765","0.1465761959552765","749","749","749","0.2463826407400531","0.2463826407400531","0.2463826407400531"
"62","761","761","761","0.2229832261800766","0.2229832261800766","0.2229832261800766","761","761","761","0.14361801743507385","0.14361801743507385","0.14361801743507385","761","761","761","0.24035615016971962","0.24035615016971962","0.24035615016971962"
"63","773","773","773","0.20727430284023285","0.20727430284023285","0.20727430284023285","773","773","773","0.14279238879680634","0.14279238879680634","0.14279238879680634","773","773","773","0.23956253206350558","0.23956253206350558","0.23956253206350558"
"64","785","785","785","0.23225754499435425","0.23225754499435425","0.23225754499435425","785","785","785","0.14014780521392822","0.14014780521392822","0.14014780521392822","785","785","785","0.2410369967012344","0.2410369967012344","0.2410369967012344"
"65","797","797","797","0.20901143550872803","0.20901143550872803","0.20901143550872803","797","797","797","0.1545666605234146","0.1545666605234146","0.1545666605234146","797","797","797","0.2577327967114571","0.2577327967114571","0.2577327967114571"
"66","809","809","809","0.22763296961784363","0.22763296961784363","0.22763296961784363","809","809","809","0.1462961733341217","0.1462961733341217","0.1462961733341217","809","809","809","0.24694275998054946","0.24694275998054946","0.24694275998054946"
"67","821","821","821","0.22533129155635834","0.22533129155635834","0.22533129155635834","821","821","821","0.13699676096439362","0.13699676096439362","0.13699676096439362","821","821","821","0.25484937469318086","0.25484937469318086","0.25484937469318086"
"68","833","833","833","0.22535035014152527","0.22535035014152527","0.22535035014152527","833","833","833","0.14083896577358246","0.14083896577358246","0.14083896577358246","833","833","833","0.25411836591273507","0.25411836591273507","0.25411836591273507"
"69","846","846","846","0.21975845098495483","0.21975845098495483","0.21975845098495483","846","846","846","0.1510392278432846","0.1510392278432846","0.1510392278432846","846","846","846","0.25218812765704907","0.25218812765704907","0.25218812765704907"
"70","858","858","858","0.23536652326583862","0.23536652326583862","0.23536652326583862","858","858","858","0.14776910841464996","0.14776910841464996","0.14776910841464996","858","858","858","0.24740824375840662","0.24740824375840662","0.24740824375840662"
"71","870","870","870","0.21889114379882812","0.21889114379882812","0.21889114379882812","870","870","870","0.1447782814502716","0.1447782814502716","0.1447782814502716","870","870","870","0.25120186132563704","0.25120186132563704","0.25120186132563704"
"72","882","882","882","0.235454261302948","0.235454261302948","0.235454261302948","882","882","882","0.14907269179821014","0.14907269179821014","0.14907269179821014","882","882","882","0.2659797285567448","0.2659797285567448","0.2659797285567448"
"73","894","894","894","0.21049615740776062","0.21049615740776062","0.21049615740776062","894","894","894","0.14990146458148956","0.14990146458148956","0.14990146458148956","894","894","894","0.24497873704886303","0.24497873704886303","0.24497873704886303"
"74","906","906","906","0.22530856728553772","0.22530856728553772","0.22530856728553772","906","906","906","0.1505228877067566","0.1505228877067566","0.1505228877067566","906","906","906","0.2581557522285107","0.2581557522285107","0.2581557522285107"
"75","918","918","918","0.23976440727710724","0.23976440727710724","0.23976440727710724","918","918","918","0.14586494863033295","0.14586494863033295","0.14586494863033295","918","918","918","0.2502939046456834","0.2502939046456834","0.2502939046456834"
"76","930","930","930","0.24449892342090607","0.24449892342090607","0.24449892342090607","930","930","930","0.15205469727516174","0.15205469727516174","0.15205469727516174","930","930","930","0.24392118791357129","0.24392118791357129","0.24392118791357129"
"77","942","942","942","0.2153359204530716","0.2153359204530716","0.2153359204530716","942","942","942","0.14806704223155975","0.14806704223155975","0.14806704223155975","942","942","942","0.2661397469954419","0.2661397469954419","0.2661397469954419"
"78","954","954","954","0.23496200144290924","0.23496200144290924","0.23496200144290924","954","954","954","0.15463681519031525","0.15463681519031525","0.15463681519031525","954","954","954","0.25877881530733204","0.25877881530733204","0.25877881530733204"
"79","967","967","967","0.24154722690582275","0.24154722690582275","0.24154722690582275","967","967","967","0.1510581076145172","0.1510581076145172","0.1510581076145172","967","967","967","0.25955710979292296","0.25955710979292296","0.25955710979292296"
"80","979","979","979","0.2287086546421051","0.2287086546421051","0.2287086546421051","979","979","979","0.16812725365161896","0.16812725365161896","0.16812725365161896","979","979","979","0.2658664820277444","0.2658664820277444","0.2658664820277444"
"81","991","991","991","0.21986079216003418","0.21986079216003418","0.21986079216003418","991","991","991","0.14716531336307526","0.14716531336307526","0.14716531336307526","991","991","991","0.2645328118822728","0.2645328118822728","0.2645328118822728"
"82","1003","1003","1003","0.24870064854621887","0.24870064854621887","0.24870064854621887","1003","1003","1003","0.15994565188884735","0.15994565188884735","0.15994565188884735","1003","1003","1003","0.2514249454971695","0.2514249454971695","0.2514249454971695"
"83","1015","1015","1015","0.23651154339313507","0.23651154339313507","0.23651154339313507","1015","1015","1015","0.15522733330726624","0.15522733330726624","0.15522733330726624","1015","1015","1015","0.2641261616532047","0.2641261616532047","0.2641261616532047"
"84","1027","1027","1027","0.2438208907842636","0.2438208907842636","0.2438208907842636","1027","1027","1027","0.16367320716381073","0.16367320716381073","0.16367320716381073","1027","1027","1027","0.2654760325444905","0.2654760325444905","0.2654760325444905"
"85","1039","1039","1039","0.24669066071510315","0.24669066071510315","0.24669066071510315","1039","1039","1039","0.16315914690494537","0.16315914690494537","0.16315914690494537","1039","1039","1039","0.25039941822526535","0.25039941822526535","0.25039941822526535"
"86","1051","1051","1051","0.2355903536081314","0.2355903536081314","0.2355903536081314","1051","1051","1051","0.15955738723278046","0.15955738723278046","0.15955738723278046","1051","1051","1051","0.2687806268181375","0.2687806268181375","0.2687806268181375"
"87","1063","1063","1063","0.21424967050552368","0.21424967050552368","0.21424967050552368","1063","1063","1063","0.1611757129430771","0.1611757129430771","0.1611757129430771","1063","1063","1063","0.24976637086479683","0.24976637086479683","0.24976637086479683"
"88","1075","1075","1075","0.24251936376094818","0.24251936376094818","0.24251936376094818","1075","1075","1075","0.16241222620010376","0.16241222620010376","0.16241222620010376","1075","1075","1075","0.2753487492679371","0.2753487492679371","0.2753487492679371"
"89","1088","1088","1088","0.2404443770647049","0.2404443770647049","0.2404443770647049","1088","1088","1088","0.15388916432857513","0.15388916432857513","0.15388916432857513","1088","1088","1088","0.2613162369861587","0.2613162369861587","0.2613162369861587"
"90","1100","1100","1100","0.2347443401813507","0.2347443401813507","0.2347443401813507","1100","1100","1100","0.16505815088748932","0.16505815088748932","0.16505815088748932","1100","1100","1100","0.25990505793824964","0.25990505793824964","0.25990505793824964"
"91","1112","1112","1112","0.23829244077205658","0.23829244077205658","0.23829244077205658","1112","1112","1112","0.17523816227912903","0.17523816227912903","0.17523816227912903","1112","1112","1112","0.2744435292239256","0.2744435292239256","0.2744435292239256"
"92","1124","1124","1124","0.2403598427772522","0.2403598427772522","0.2403598427772522","1124","1124","1124","0.17075707018375397","0.17075707018375397","0.17075707018375397","1124","1124","1124","0.24961021267305128","0.24961021267305128","0.24961021267305128"
"93","1136","1136","1136","0.2512635588645935","0.2512635588645935","0.2512635588645935","1136","1136","1136","0.16345612704753876","0.16345612704753876","0.16345612704753876","1136","1136","1136","0.2638066237430078","0.2638066237430078","0.2638066237430078"
"94","1148","1148","1148","0.24682724475860596","0.24682724475860596","0.24682724475860596","1148","1148","1148","0.16096565127372742","0.16096565127372742","0.16096565127372742","1148","1148","1148","0.2600990494825983","0.2600990494825983","0.2600990494825983"
"95","1160","1160","1160","0.25063493847846985","0.25063493847846985","0.25063493847846985","1160","1160","1160","0.17407190799713135","0.17407190799713135","0.17407190799713135","1160","1160","1160","0.24916697063710538","0.24916697063710538","0.24916697063710538"
"96","1172","1172","1172","0.24474379420280457","0.24474379420280457","0.24474379420280457","1172","1172","1172","0.1697991043329239","0.1697991043329239","0.1697991043329239","1172","1172","1172","0.27775454838100505","0.27775454838100505","0.27775454838100505"
"97","1184","1184","1184","0.26026177406311035","0.26026177406311035","0.26026177406311035","1184","1184","1184","0.17377568781375885","0.17377568781375885","0.17377568781375885","1184","1184","1184","0.26647414940454694","0.26647414940454694","0.26647414940454694"
"98","1196","1196","1196","0.24015836417675018","0.24015836417675018","0.24015836417675018","1196","1196","1196","0.1749393492937088","0.1749393492937088","0.1749393492937088","1196","1196","1196","0.2726676519637849","0.2726676519637849","0.2726676519637849"
"99","1209","1209","1209","0.23425176739692688","0.23425176739692688","0.23425176739692688","1209","1209","1209","0.15742552280426025","0.15742552280426025","0.15742552280426025","1209","1209","1209","0.26598245661163533","0.26598245661163533","0.26598245661163533"
"100","1221","1221","1221","0.24970783293247223","0.24970783293247223","0.24970783293247223","1221","1221","1221","0.16846932470798492","0.16846932470798492","0.16846932470798492","1221","1221","1221","0.27456446630770126","0.27456446630770126","0.27456446630770126"
"101","1233","1233","1233","0.25861573219299316","0.25861573219299316","0.25861573219299316","1233","1233","1233","0.18621808290481567","0.18621808290481567","0.18621808290481567","1233","1233","1233","0.2697410901195488","0.2697410901195488","0.2697410901195488"
"102","1245","1245","1245","0.24178309738636017","0.24178309738636017","0.24178309738636017","1245","1245","1245","0.18177056312561035","0.18177056312561035","0.18177056312561035","1245","1245","1245","0.2711367711971883","0.2711367711971883","0.2711367711971883"
"103","1257","1257","1257","0.24014638364315033","0.24014638364315033","0.24014638364315033","1257","1257","1257","0.17295488715171814","0.17295488715171814","0.17295488715171814","1257","1257","1257","0.2635523227288528","0.2635523227288528","0.2635523227288528"
"104","1269","1269","1269","0.26133185625076294","0.26133185625076294","0.26133185625076294","1269","1269","1269","0.17710177600383759","0.17710177600383759","0.17710177600383759","1269","1269","1269","0.2517991377226097","0.2517991377226097","0.2517991377226097"
"105","1281","1281","1281","0.24976696074008942","0.24976696074008942","0.24976696074008942","1281","1281","1281","0.17673058807849884","0.17673058807849884","0.17673058807849884","1281","1281","1281","0.2710695446886183","0.2710695446886183","0.2710695446886183"
"106","1293","1293","1293","0.25558045506477356","0.25558045506477356","0.25558045506477356","1293","1293","1293","0.17049628496170044","0.17049628496170044","0.17049628496170044","1293","1293","1293","0.27191308490764654","0.27191308490764654","0.27191308490764654"
"107","1305","1305","1305","0.2460363805294037","0.2460363805294037","0.2460363805294037","1305","1305","1305","0.1703704595565796","0.1703704595565796","0.1703704595565796","1305","1305","1305","0.2794295482302749","0.2794295482302749","0.2794295482302749"
"108","1317","1317","1317","0.2545981705188751","0.2545981705188751","0.2545981705188751","1317","1317","1317","0.18513338267803192","0.18513338267803192","0.18513338267803192","1317","1317","1317","0.27087264258245475","0.27087264258245475","0.27087264258245475"
"109","1330","1330","1330","0.25269705057144165","0.25269705057144165","0.25269705057144165","1330","1330","1330","0.18269170820713043","0.18269170820713043","0.18269170820713043","1330","1330","1330","0.27696092906683495","0.27696092906683495","0.27696092906683495"
"110","1342","1342","1342","0.26027852296829224","0.26027852296829224","0.26027852296829224","1342","1342","1342","0.17705582082271576","0.17705582082271576","0.17705582082271576","1342","1342","1342","0.27208775229969434","0.27208775229969434","0.27208775229969434"
"111","1354","1354","1354","0.2503160834312439","0.2503160834312439","0.2503160834312439","1354","1354","1354","0.18220193684101105","0.18220193684101105","0.18220193684101105","1354","1354","1354","0.28884451645361986","0.28884451645361986","0.28884451645361986"
"112","1366","1366","1366","0.2502564787864685","0.2502564787864685","0.2502564787864685","1366","1366","1366","0.17242738604545593","0.17242738604545593","0.17242738604545593","1366","1366","1366","0.28103311991538554","0.28103311991538554","0.28103311991538554"
"113","1378","1378","1378","0.2619089186191559","0.2619089186191559","0.2619089186191559","1378","1378","1378","0.1753275841474533","0.1753275841474533","0.1753275841474533","1378","1378","1378","0.2847039970648903","0.2847039970648903","0.2847039970648903"
"114","1390","1390","1390","0.25874242186546326","0.25874242186546326","0.25874242186546326","1390","1390","1390","0.179562509059906","0.179562509059906","0.179562509059906","1390","1390","1390","0.29170381490907876","0.29170381490907876","0.29170381490907876"
"115","1402","1402","1402","0.26267674565315247","0.26267674565315247","0.26267674565315247","1402","1402","1402","0.18694491684436798","0.18694491684436798","0.18694491684436798","1402","1402","1402","0.28488034176230154","0.28488034176230154","0.28488034176230154"
"116","1414","1414","1414","0.2651612460613251","0.2651612460613251","0.2651612460613251","1414","1414","1414","0.17896099388599396","0.17896099388599396","0.17896099388599396","1414","1414","1414","0.2804372026685479","0.2804372026685479","0.2804372026685479"
"117","1426","1426","1426","0.26106610894203186","0.26106610894203186","0.26106610894203186","1426","1426","1426","0.17918387055397034","0.17918387055397034","0.17918387055397034","1426","1426","1426","0.2688582676035224","0.2688582676035224","0.2688582676035224"
"118","1438","1438","1438","0.2547585666179657","0.2547585666179657","0.2547585666179657","1438","1438","1438","0.18256497383117676","0.18256497383117676","0.18256497383117676","1438","1438","1438","0.2710021271422488","0.2710021271422488","0.2710021271422488"
"119","1451","1451","1451","0.24651794135570526","0.24651794135570526","0.24651794135570526","1451","1451","1451","0.17759865522384644","0.17759865522384644","0.17759865522384644","1451","1451","1451","0.27618136884376165","0.27618136884376165","0.27618136884376165"
"120","1463","1463","1463","0.25023195147514343","0.25023195147514343","0.25023195147514343","1463","1463","1463","0.18324793875217438","0.18324793875217438","0.18324793875217438","1463","1463","1463","0.27581673092608655","0.27581673092608655","0.27581673092608655"
"121","1475","1475","1475","0.2471764236688614","0.2471764236688614","0.2471764236688614","1475","1475","1475","0.17482542991638184","0.17482542991638184","0.17482542991638184","1475","1475","1475","0.28423053548381616","0.28423053548381616","0.28423053548381616"
"122","1487","1487","1487","0.2427055984735489","0.2427055984735489","0.2427055984735489","1487","1487","1487","0.18958599865436554","0.18958599865436554","0.18958599865436554","1487","1487","1487","0.2741597595546695","0.2741597595546695","0.2741597595546695"
"123","1499","1499","1499","0.2528682053089142","0.2528682053089142","0.2528682053089142","1499","1499","1499","0.18273665010929108","0.18273665010929108","0.18273665010929108","1499","1499","1499","0.2746828385235683","0.2746828385235683","0.2746828385235683"
