"epoch","yv5s-coco-zipf-loss-weights-tuned - _step","yv5s-coco-zipf-loss-weights-tuned - _step__MIN","yv5s-coco-zipf-loss-weights-tuned - _step__MAX","yv5s-coco-zipf-loss-weights-tuned - obj","yv5s-coco-zipf-loss-weights-tuned - obj__MIN","yv5s-coco-zipf-loss-weights-tuned - obj__MAX","yv5s-coco-zipf-loss-weights - _step","yv5s-coco-zipf-loss-weights - _step__MIN","yv5s-coco-zipf-loss-weights - _step__MAX","yv5s-coco-zipf-loss-weights - obj","yv5s-coco-zipf-loss-weights - obj__MIN","yv5s-coco-zipf-loss-weights - obj__MAX","yv5s-coco-zipf - _step","yv5s-coco-zipf - _step__MIN","yv5s-coco-zipf - _step__MAX","yv5s-coco-zipf - obj","yv5s-coco-zipf - obj__MIN","yv5s-coco-zipf - obj__MAX"
"13","162.5","158","167","0.03363231625407934","0.03070005401968956","0.039007965475320816","162.5","158","167","0.03537346906960011","0.03205186128616333","0.04073312133550644","162.5","158","167","0.03432794380933046","0.030422208830714226","0.03764661028981209"
"14","174.5","170","179","0.033978115394711496","0.03130825236439705","0.03767966106534004","174.5","170","179","0.0356915257871151","0.03251156583428383","0.03873038291931152","174.5","170","179","0.03358695972710848","0.030970467254519463","0.03670794144272804"
"15","186.5","182","191","0.034295371174812316","0.031341392546892166","0.036214131861925125","186.5","182","191","0.036025886237621305","0.03281840682029724","0.0381934717297554","186.5","182","191","0.034937435016036036","0.03160719946026802","0.037891291081905365"
"16","198.5","194","203","0.03383817747235298","0.03008081391453743","0.036711592227220535","198.5","194","203","0.035375964269042014","0.03171995282173157","0.03785789757966995","198.5","194","203","0.03335225433111191","0.031143251806497574","0.03667179122567177"
"17","210.5","206","215","0.033242376148700715","0.030329246073961258","0.03672991320490837","210.5","206","215","0.035034912079572676","0.032132912427186966","0.03949756547808647","210.5","206","215","0.03357517030090094","0.030835533514618874","0.03683730959892273"
"18","222.5","218","227","0.033610513992607595","0.027731407433748245","0.03808673471212387","222.5","218","227","0.035864409431815146","0.029560627415776253","0.04079399257898331","222.5","218","227","0.032650824449956414","0.028143728151917458","0.03528452292084694"
"19","235","230","240","0.03338406996970827","0.029838979244232178","0.037502896040678024","235","230","240","0.03530698134140535","0.03202463686466217","0.03939438238739967","235","230","240","0.03206144408746199","0.02853964827954769","0.036290690302848816"
"20","247.5","243","252","0.03421946205198765","0.032102320343256","0.036285802721977234","247.5","243","252","0.03627449870109558","0.033264826983213425","0.03858720138669014","247.5","243","252","0.03300038259476423","0.027010472491383553","0.03588251769542694"
"21","259.5","255","264","0.03339412324130535","0.030901066958904266","0.03646956384181976","259.5","255","264","0.035662883520126344","0.03312397748231888","0.03853456303477287","259.5","255","264","0.034673643112182614","0.030679922550916672","0.03742481768131256"
"22","271.5","267","276","0.03408470489084721","0.030719194561243057","0.03726484626531601","271.5","267","276","0.0364381805062294","0.03325630724430084","0.039170898497104645","271.5","267","276","0.03302767295390367","0.030267028138041496","0.036618638783693314"
"23","283.5","279","288","0.03357349541038275","0.02929222397506237","0.03769819438457489","283.5","279","288","0.03541167825460434","0.030871734023094177","0.03920132294297218","283.5","279","288","0.03346474356949329","0.028947703540325165","0.03619617968797684"
"24","295.5","291","300","0.03209147658199072","0.028811441734433174","0.03642088919878006","295.5","291","300","0.034382174350321294","0.030202755704522133","0.03900757431983948","295.5","291","300","0.03354045078158378","0.03136088699102402","0.03800801560282707"
"25","307.5","303","312","0.032799980416893956","0.02843957394361496","0.03501209244132042","307.5","303","312","0.03501920141279698","0.03145628422498703","0.03736869618296623","307.5","303","312","0.03346533123403787","0.029076319187879562","0.036752406507730484"
"26","319.5","315","324","0.03311075456440449","0.02917134016752243","0.03698823228478432","319.5","315","324","0.03521160371601582","0.03125699609518051","0.038980402052402496","319.5","315","324","0.03265446275472641","0.029497180134058","0.03529225289821625"
"27","331.5","327","336","0.03330375924706459","0.030532799661159515","0.03556973487138748","331.5","327","336","0.035512639582157134","0.032113101333379745","0.03810299560427666","331.5","327","336","0.03173279464244842","0.029076289385557175","0.03515748679637909"
"28","343.5","339","348","0.032630113512277605","0.029556237161159515","0.03479631990194321","343.5","339","348","0.035178600996732715","0.03205927088856697","0.03782583773136139","343.5","339","348","0.03311923798173666","0.030504601076245308","0.034678757190704346"
"29","356","351","361","0.03272024897689169","0.027181854471564293","0.03744218870997429","356","351","361","0.03521326099607078","0.02955090068280697","0.039896998554468155","356","351","361","0.03487930497662588","0.031212614849209785","0.03916976600885391"
"30","368.5","364","373","0.032946151308715345","0.030143817886710167","0.03599831461906433","368.5","364","373","0.03558472208678722","0.032002709805965424","0.04009275883436203","368.5","364","373","0.033877050317823884","0.031243564561009407","0.038411688059568405"
"31","380.5","376","385","0.031385103799402715","0.027230964973568916","0.03489502891898155","380.5","376","385","0.03429579064249992","0.030180279165506363","0.038191404193639755","380.5","376","385","0.03174238558858633","0.028340693563222885","0.035422638058662415"
"32","392.5","388","397","0.03164375815540552","0.028398647904396057","0.033281706273555756","392.5","388","397","0.03428963180631399","0.03069431520998478","0.035945162177085876","392.5","388","397","0.031287125498056415","0.02892906777560711","0.03297968581318855"
"33","404.5","400","409","0.03164973575621843","0.02691706456243992","0.03855719417333603","404.5","400","409","0.03447578269988298","0.029793595895171165","0.0418560616672039","404.5","400","409","0.030860971473157407","0.02932063117623329","0.03526991605758667"
"34","416.5","412","421","0.0321739487349987","0.02880973182618618","0.03560834005475044","416.5","412","421","0.03517667539417744","0.031512755900621414","0.03929384797811508","416.5","412","421","0.0325149554759264","0.030140727758407593","0.03648548200726509"
"35","428.5","424","433","0.031341050192713736","0.029018864035606384","0.03486430644989014","428.5","424","433","0.03415061570703983","0.03175488859415054","0.037669192999601364","428.5","424","433","0.031363027170300484","0.026890503242611885","0.03557534143328667"
"36","440.5","436","445","0.032355467602610585","0.030437234789133072","0.035010676831007004","440.5","436","445","0.03496857471764088","0.033464375883340836","0.03730369359254837","440.5","436","445","0.03205828070640564","0.02926524728536606","0.034951549023389816"
"37","452.5","448","457","0.03072290476411581","0.026922237128019333","0.033448830246925354","452.5","448","457","0.03340503983199596","0.028961528092622757","0.03638601303100586","452.5","448","457","0.03205605633556843","0.029226427897810936","0.03620239347219467"
"38","464.5","460","469","0.030319834500551222","0.028724802657961845","0.03300835192203522","464.5","460","469","0.0329985685646534","0.030895233154296875","0.03561761975288391","464.5","460","469","0.03133899290114641","0.026426605880260468","0.0354154109954834"
"39","477","472","482","0.03168912536718629","0.028684068471193314","0.03526086360216141","477","472","482","0.034661836583505974","0.03158564493060112","0.0386345311999321","477","472","482","0.03176295554096049","0.028433848172426224","0.03626299649477005"
"40","489.5","485","494","0.032154903188347815","0.029396217316389084","0.034855689853429794","489.5","485","494","0.03497892878949642","0.03214623034000397","0.03818684071302414","489.5","485","494","0.03322771470993757","0.030903996899724007","0.036083076149225235"
"41","501.5","497","506","0.032327073998749255","0.029589056968688965","0.03483668342232704","501.5","497","506","0.03524371907114983","0.03253670036792755","0.03755636513233185","501.5","497","506","0.03154296446591616","0.029846828430891037","0.03501419350504875"
"42","513.5","509","518","0.03193987347185612","0.029472069814801216","0.03452673554420471","513.5","509","518","0.03498118594288826","0.03197759762406349","0.037828054279088974","513.5","509","518","0.032358342036604884","0.0281333327293396","0.03508632257580757"
"43","525.5","521","530","0.030734786577522755","0.028780583292245865","0.03245082497596741","525.5","521","530","0.03371136337518692","0.03156711533665657","0.03518375754356384","525.5","521","530","0.031212438084185123","0.028783850371837616","0.03370284289121628"
"44","537.5","533","542","0.03154678028076887","0.02918827533721924","0.03380047529935837","537.5","533","542","0.034747007116675374","0.03193580359220505","0.03698918595910072","537.5","533","542","0.031228729523718357","0.029085641726851463","0.03417656943202019"
"45","549.5","545","554","0.03187944367527962","0.02904217690229416","0.036516591906547546","549.5","545","554","0.034851450473070145","0.03140072897076607","0.03987688943743706","549.5","545","554","0.03256751783192158","0.02848326601088047","0.03628551587462425"
"46","561.5","557","566","0.03137833140790462","0.027643879875540733","0.03488348796963692","561.5","557","566","0.03478110618889332","0.031388986855745316","0.0384196974337101","561.5","557","566","0.03150537945330143","0.028423544019460678","0.03427014872431755"
"47","573.5","569","578","0.031873632967472074","0.029405400156974792","0.0348343662917614","573.5","569","578","0.03488566055893898","0.03223120793700218","0.03785056620836258","573.5","569","578","0.030835019983351232","0.027844134718179703","0.03303305432200432"
"48","585.5","581","590","0.03104528449475765","0.02654380351305008","0.03401724621653557","585.5","581","590","0.034012780897319315","0.02900254912674427","0.03777850419282913","585.5","581","590","0.03005618304014206","0.02796999365091324","0.0323239266872406"
"49","598","593","603","0.03154186768965288","0.02692319080233574","0.03571980446577072","598","593","603","0.034558468582955276","0.03093302622437477","0.03883612900972366","598","593","603","0.03129501217468218","0.027464861050248146","0.03720792755484581"
"50","610.5","606","615","0.03145858105272055","0.02866140380501747","0.03434243053197861","610.5","606","615","0.03434949349611997","0.030489841476082802","0.037061791867017746","610.5","606","615","0.031915076449513434","0.02912195585668087","0.03450891375541687"
"51","622.5","618","627","0.031196695752441883","0.026222078129649162","0.03454155847430229","622.5","618","627","0.03436740804463625","0.029451387003064156","0.03730615973472595","622.5","618","627","0.03190642856061458","0.027084164321422577","0.037711795419454575"
"52","634.5","630","639","0.029949806071817874","0.027141259983181953","0.034584127366542816","634.5","630","639","0.03324462771415711","0.03078193962574005","0.03709424287080765","634.5","630","639","0.02953845411539078","0.026281174272298813","0.030733847990632057"
"53","646.5","642","651","0.030987792089581488","0.02780061960220337","0.03436240553855896","646.5","642","651","0.03404330294579268","0.03077428974211216","0.03723303601145744","646.5","642","651","0.030554078333079816","0.026458323001861572","0.03367225453257561"
"54","658.5","654","663","0.03218688108026981","0.028683127835392952","0.03484627231955528","658.5","654","663","0.03550781644880772","0.0316593274474144","0.038865767419338226","658.5","654","663","0.03146494794636965","0.027204617857933044","0.03659734129905701"
"55","670.5","666","675","0.03108352068811655","0.028152301907539368","0.03487139940261841","670.5","666","675","0.03404606524854899","0.029956910759210587","0.037582118064165115","670.5","666","675","0.031278432346880436","0.02684641443192959","0.03501735255122185"
"56","682.5","678","687","0.03168450891971588","0.030361412093043327","0.03475223854184151","682.5","678","687","0.034926386550068855","0.0333431251347065","0.03858105093240738","682.5","678","687","0.03133508712053299","0.027257461100816727","0.03576786443591118"
"57","694.5","690","699","0.031186537817120552","0.027753444388508797","0.034614961594343185","694.5","690","699","0.034378632344305514","0.03036256693303585","0.03792218118906021","694.5","690","699","0.030906601622700692","0.026900922879576683","0.03483923152089119"
"58","706.5","702","711","0.03023202158510685","0.024215783923864365","0.03320389986038208","706.5","702","711","0.033417591080069545","0.027173399925231934","0.036379266530275345","706.5","702","711","0.029877377301454545","0.026257866993546486","0.034212417900562286"
"59","719","714","724","0.028108660978349773","0.02493046596646309","0.03305467963218689","719","714","724","0.031432146545160904","0.027521837502717972","0.036733780056238174","719","714","724","0.03009613552554087","0.026945192366838455","0.032819293439388275"
"60","731.5","727","736","0.03049612734466791","0.026887116953730583","0.03217184916138649","731.5","727","736","0.033836518228054044","0.03012608364224434","0.03589481860399246","731.5","727","736","0.030819179862737654","0.028702348470687866","0.032524947077035904"
"61","743.5","739","748","0.030865095928311347","0.02902870997786522","0.03583911433815956","743.5","739","748","0.03448281548917294","0.0321681872010231","0.03928257152438164","743.5","739","748","0.03065917957574129","0.028191128745675087","0.032705988734960556"
"62","755.5","751","760","0.02974415086209774","0.024986861273646355","0.0345001295208931","755.5","751","760","0.03322481643408537","0.028777075931429863","0.03894168883562088","755.5","751","760","0.030138569325208663","0.02654718980193138","0.03377821668982506"
"63","767.5","763","772","0.030301275104284285","0.02556478977203369","0.03464750945568085","767.5","763","772","0.03392823971807957","0.028982289135456085","0.03857121616601944","767.5","763","772","0.031148608773946762","0.027856986969709396","0.0335492379963398"
"64","779.5","775","784","0.028781235218048096","0.026118101552128792","0.03065989352762699","779.5","775","784","0.032596294209361075","0.030874356627464294","0.03409075364470482","779.5","775","784","0.030296323634684087","0.02797219716012478","0.03442355617880821"
"65","791.5","787","796","0.03019400779157877","0.0281454436480999","0.03261497616767883","791.5","787","796","0.03373463489115238","0.03125833347439766","0.03640604764223099","791.5","787","796","0.03071394618600607","0.028853291645646095","0.03435223177075386"
"66","803.5","799","808","0.031156774237751962","0.02652524597942829","0.03529064729809761","803.5","799","808","0.03443011827766895","0.030091021209955215","0.03785652667284012","803.5","799","808","0.030487078428268432","0.026953255757689476","0.03287123516201973"
"67","815.5","811","820","0.03134919758886099","0.02710064873099327","0.035286515951156616","815.5","811","820","0.03490002937614918","0.029068410396575928","0.039086002856492996","815.5","811","820","0.030691552348434924","0.027391087263822556","0.03503671661019325"
"68","827.5","823","832","0.02941212002187967","0.02679578959941864","0.03195882588624954","827.5","823","832","0.0331080436706543","0.030702386051416397","0.036019466817379","827.5","823","832","0.031092184968292712","0.028165878728032112","0.034217484295368195"
"69","840","835","845","0.030173557556488297","0.02676972933113575","0.03485400602221489","840","835","845","0.03360567106442018","0.030344292521476746","0.0377521850168705","840","835","845","0.030513444915413857","0.026418838649988174","0.03600946441292763"
"70","852.5","848","857","0.030249947495758534","0.026338951662182808","0.03377806767821312","852.5","848","857","0.034196348115801814","0.029207371175289154","0.03768347203731537","852.5","848","857","0.029852249845862388","0.024207400158047676","0.034745827317237854"
"71","864.5","860","869","0.030689877830445765","0.02856060303747654","0.0361371673643589","864.5","860","869","0.03445894345641136","0.03239244967699051","0.03941188007593155","864.5","860","869","0.030065596289932727","0.02680475264787674","0.032039158046245575"
"72","876.5","872","881","0.030172777362167835","0.026918843388557434","0.03481809422373772","876.5","872","881","0.03354035094380379","0.030673043802380562","0.03827749192714691","876.5","872","881","0.02886401619762182","0.025140350684523582","0.03284943103790283"
"73","888.5","884","893","0.03072344120591879","0.026479942724108696","0.03399807587265968","888.5","884","893","0.03432628381997347","0.02963249757885933","0.03791288658976555","888.5","884","893","0.030521662160754203","0.028113173320889473","0.03435298055410385"
"74","900.5","896","905","0.029913609474897386","0.02595633454620838","0.03307052329182625","900.5","896","905","0.03386013489216566","0.029652167111635208","0.03787245973944664","900.5","896","905","0.03046806640923023","0.027350598946213722","0.03427240625023842"
"75","912.5","908","917","0.028725091181695462","0.026371322572231293","0.030779125168919563","912.5","908","917","0.0326467951759696","0.030348019674420357","0.03510945290327072","912.5","908","917","0.030558362230658533","0.025614073500037193","0.03361338749527931"
"76","924.5","920","929","0.030222733877599238","0.028248928487300873","0.0333399698138237","924.5","920","929","0.03408472426235676","0.031282853335142136","0.03891772776842117","924.5","920","929","0.030646986700594424","0.02641487680375576","0.035399504005908966"
"77","936.5","932","941","0.029653983376920223","0.027306385338306427","0.03180548548698425","936.5","932","941","0.03350161276757717","0.03154337406158447","0.03544324263930321","936.5","932","941","0.0313565231859684","0.029237518087029457","0.033607736229896545"
"78","948.5","944","953","0.029408890567719937","0.026803184300661087","0.03140338882803917","948.5","944","953","0.032862020283937456","0.03081996738910675","0.034949105232954025","948.5","944","953","0.029516679421067237","0.026049364358186722","0.032434988766908646"
"79","961","956","966","0.029834750362417915","0.02640341781079769","0.03147003427147865","961","956","966","0.03350229866125367","0.030526064336299896","0.03533695638179779","961","956","966","0.029344867237589577","0.024258555844426155","0.03273221477866173"
"80","973.5","969","978","0.0297488909214735","0.026309575885534286","0.03408069536089897","973.5","969","978","0.0335586691275239","0.03003709949553013","0.03788057342171669","973.5","969","978","0.03046215958893299","0.025863265618681908","0.03470876067876816"
"81","985.5","981","990","0.028244398720562457","0.024507518857717514","0.03227200731635094","985.5","981","990","0.03196780979633331","0.028738105669617653","0.03599100187420845","985.5","981","990","0.029775926284492014","0.0262716393917799","0.03504366800189018"
"82","997.5","993","1002","0.02964012250304222","0.026258081197738647","0.033709485083818436","997.5","993","1002","0.0332962267100811","0.029341749846935272","0.03774666786193848","997.5","993","1002","0.028718126565217973","0.026264725252985954","0.0307608675211668"
"83","1009.5","1005","1014","0.030876205302774906","0.02745191380381584","0.03538256138563156","1009.5","1005","1014","0.03432790841907263","0.031056540086865425","0.03963808715343475","1009.5","1005","1014","0.030258148163557052","0.02799336239695549","0.03440619260072708"
"84","1021.5","1017","1026","0.029931963235139847","0.02771987020969391","0.034163571894168854","1021.5","1017","1026","0.03385973609983921","0.03062833473086357","0.037173882126808167","1021.5","1017","1026","0.030478138104081155","0.02748723514378071","0.03219406306743622"
"85","1033.5","1029","1038","0.028249581344425678","0.024358879774808884","0.030164141207933426","1033.5","1029","1038","0.032053181529045106","0.02810630202293396","0.03415418043732643","1033.5","1029","1038","0.029729307070374487","0.023737795650959015","0.0356421023607254"
"86","1045.5","1041","1050","0.029961873218417166","0.02602645754814148","0.03253345936536789","1045.5","1041","1050","0.03375471867620945","0.02915882132947445","0.0368172749876976","1045.5","1041","1050","0.030739353224635124","0.02825446054339409","0.034034229815006256"
"87","1057.5","1053","1062","0.029113509133458136","0.026866525411605835","0.03364669531583786","1057.5","1053","1062","0.03279604129493237","0.029659492895007133","0.03743455186486244","1057.5","1053","1062","0.028975782357156275","0.02586250752210617","0.031172772869467735"
"88","1069.5","1065","1074","0.02914834152907133","0.02619820274412632","0.03222537413239479","1069.5","1065","1074","0.03331676702946425","0.029749924317002296","0.037075504660606384","1069.5","1065","1074","0.030345476418733596","0.02675052359700203","0.03451962023973465"
"89","1082","1077","1087","0.028947781771421432","0.024044634774327278","0.03326493129134178","1082","1077","1087","0.03265465558929877","0.026527896523475647","0.036801282316446304","1082","1077","1087","0.029602428728883915","0.026638180017471313","0.03143591806292534"
"90","1094.5","1090","1099","0.029273516871035098","0.0271601565182209","0.03225908800959587","1094.5","1090","1099","0.03320783860981465","0.030309390276670456","0.035616856068372726","1094.5","1090","1099","0.029679363034665583","0.027404144406318665","0.03281779959797859"
"91","1106.5","1102","1111","0.02914224863052368","0.02676469273865223","0.03120558150112629","1106.5","1102","1111","0.033223137445747855","0.030664416030049324","0.03650166466832161","1106.5","1102","1111","0.029386841878294944","0.02741188183426857","0.03172977268695831"
"92","1118.5","1114","1123","0.029527106881141664","0.025179198011755943","0.033318016678094864","1118.5","1114","1123","0.03360300064086914","0.02882339432835579","0.03727400675415993","1118.5","1114","1123","0.029153365828096866","0.02453618310391903","0.03292325884103775"
"93","1130.5","1126","1135","0.029052837751805782","0.024545591324567795","0.0322318971157074","1130.5","1126","1135","0.0330541068688035","0.027782393619418144","0.036152102053165436","1130.5","1126","1135","0.02864482719451189","0.02545207552611828","0.031286031007766724"
"94","1142.5","1138","1147","0.029384941421449186","0.027422962710261345","0.0315820574760437","1142.5","1138","1147","0.03309185989201069","0.02989272214472294","0.03548043593764305","1142.5","1138","1147","0.028901809267699717","0.024873171001672745","0.0314885713160038"
"95","1154.5","1150","1159","0.029130921326577665","0.025685498490929604","0.03272857517004013","1154.5","1150","1159","0.03321770951151848","0.029291708022356033","0.03660700097680092","1154.5","1150","1159","0.028824393823742866","0.025748634710907936","0.03178830444812775"
"96","1166.5","1162","1171","0.027611347287893294","0.023952480405569077","0.030354255810379982","1166.5","1162","1171","0.03158836029469967","0.027330420911312103","0.03567984700202942","1166.5","1162","1171","0.0287097979336977","0.02424171194434166","0.03133588284254074"
"97","1178.5","1174","1183","0.02787210624665022","0.026320908218622208","0.03069903887808323","1178.5","1174","1183","0.03210766389966011","0.029150929301977158","0.035125263035297394","1178.5","1174","1183","0.0295247383415699","0.026916583999991417","0.03187766298651695"
"98","1190.5","1186","1195","0.028582269325852394","0.027142610400915146","0.029817745089530945","1190.5","1186","1195","0.032554151490330696","0.0314137265086174","0.033646006137132645","1190.5","1186","1195","0.029756874218583106","0.02657759003341198","0.03272803872823715"
"99","1203","1198","1208","0.0285413498905572","0.0252943467348814","0.03167283162474632","1203","1198","1208","0.03254156847569076","0.02924192138016224","0.03695126995444298","1203","1198","1208","0.03023360347883268","0.027503643184900284","0.03394888713955879"
"100","1215.5","1211","1220","0.029558839462697505","0.02657606638967991","0.03154401481151581","1215.5","1211","1220","0.0331735173240304","0.030367253348231316","0.03533361107110977","1215.5","1211","1220","0.03055685553699732","0.027739491313695908","0.03403233736753464"
"101","1227.5","1223","1232","0.02933667916804552","0.026782521978020668","0.033639464527368546","1227.5","1223","1232","0.033541709370911124","0.03060007654130459","0.03789074718952179","1227.5","1223","1232","0.029643145203590394","0.027554826810956","0.033274050801992416"
"102","1239.5","1235","1244","0.02882736101746559","0.026276996359229088","0.0339101143181324","1239.5","1235","1244","0.03287699930369854","0.03019791655242443","0.03817606344819069","1239.5","1235","1244","0.02981444336473942","0.02593824826180935","0.03253961354494095"
"103","1251.5","1247","1256","0.02994110472500324","0.027406608685851097","0.03441951051354408","1251.5","1247","1256","0.03409591745585203","0.03124011494219303","0.03909178078174591","1251.5","1247","1256","0.030136095732450484","0.027336450293660164","0.033924300223588943"
"104","1263.5","1259","1268","0.028497257456183433","0.02583872526884079","0.03032013587653637","1263.5","1259","1268","0.03242447581142187","0.029236359521746635","0.03447753190994263","1263.5","1259","1268","0.02848639599978924","0.0254712775349617","0.03166714310646057"
"105","1275.5","1271","1280","0.028741233609616758","0.026414796710014343","0.031750552356243134","1275.5","1271","1280","0.032978112995624545","0.030070941895246506","0.036625221371650696","1275.5","1271","1280","0.02929990068078041","0.026244208216667175","0.03343566507101059"
"106","1287.5","1283","1292","0.029699250869452954","0.026209954172372818","0.032865963876247406","1287.5","1283","1292","0.0339693259447813","0.0301424041390419","0.03720080852508545","1287.5","1283","1292","0.029209865257143974","0.023523496463894844","0.03366471081972122"
"107","1299.5","1295","1304","0.029176822304725646","0.026430130004882812","0.03143854811787605","1299.5","1295","1304","0.03357553537935019","0.029784372076392174","0.03551933914422989","1299.5","1295","1304","0.029251100309193135","0.026811296120285988","0.03092479147017002"
"108","1311.5","1307","1316","0.0298655578866601","0.02535303682088852","0.033458810299634933","1311.5","1307","1316","0.03409319072961807","0.029898740351200104","0.03757055476307869","1311.5","1307","1316","0.028833000734448434","0.027084415778517723","0.032285746186971664"
"109","1324","1319","1329","0.028147174553437668","0.024342531338334084","0.03228198364377022","1324","1319","1329","0.032634677704085006","0.027627620846033096","0.0370761975646019","1324","1319","1329","0.029168201271783222","0.024773187935352325","0.031189924106001854"
"110","1336.5","1332","1341","0.028308857418596744","0.025208687409758568","0.03309161216020584","1336.5","1332","1341","0.03259166646748781","0.029020389541983604","0.037841156125068665","1336.5","1332","1341","0.02939597684890032","0.0258782971650362","0.03204132616519928"
"111","1348.5","1344","1353","0.02850336004048586","0.025609498843550682","0.03133358061313629","1348.5","1344","1353","0.03259438145905733","0.02959856204688549","0.03452153503894806","1348.5","1344","1353","0.029115338623523713","0.02702859416604042","0.03085114061832428"
"112","1360.5","1356","1365","0.028772914968430995","0.027160590514540672","0.030246369540691376","1360.5","1356","1365","0.033623439446091655","0.03147273510694504","0.0353006049990654","1360.5","1356","1365","0.027150685153901576","0.02482021600008011","0.029596786946058273"
"113","1372.5","1368","1377","0.027752938494086266","0.02585015632212162","0.030145764350891113","1372.5","1368","1377","0.03211727123707533","0.029828235507011414","0.034809552133083344","1372.5","1368","1377","0.029455233924090864","0.026860671117901802","0.03286169096827507"
"114","1384.5","1380","1389","0.0288750521838665","0.024688413366675377","0.033056240528821945","1384.5","1380","1389","0.033129097893834114","0.028928451240062714","0.037669964134693146","1384.5","1380","1389","0.029961894452571868","0.027979619801044464","0.03555411472916603"
"115","1396.5","1392","1401","0.028721412643790245","0.026390448212623596","0.030956178903579712","1396.5","1392","1401","0.0331542044878006","0.030376553535461426","0.03598514944314957","1396.5","1392","1401","0.027836991660296916","0.02586066536605358","0.029918458312749863"
"116","1408.5","1404","1413","0.029237456433475018","0.02675783261656761","0.031879063695669174","1408.5","1404","1413","0.03363700434565544","0.030130533501505852","0.03621723875403404","1408.5","1404","1413","0.02786817755550146","0.02397489733994007","0.031403426080942154"
"117","1420.5","1416","1425","0.02715547103434801","0.026129288598895073","0.02846040390431881","1420.5","1416","1425","0.03138148747384548","0.02958325855433941","0.03297466039657593","1420.5","1416","1425","0.029139303229749204","0.026111939921975136","0.03261164203286171"
