"epoch","yv5s-coco-zipf-cas - _step","yv5s-coco-zipf-cas - _step__MIN","yv5s-coco-zipf-cas - _step__MAX","yv5s-coco-zipf-cas - map","yv5s-coco-zipf-cas - map__MIN","yv5s-coco-zipf-cas - map__MAX","yv5s-coco-zipf-rf-mean - _step","yv5s-coco-zipf-rf-mean - _step__MIN","yv5s-coco-zipf-rf-mean - _step__MAX","yv5s-coco-zipf-rf-mean - map","yv5s-coco-zipf-rf-mean - map__MIN","yv5s-coco-zipf-rf-mean - map__MAX","yv5s-coco-zipf - _step","yv5s-coco-zipf - _step__MIN","yv5s-coco-zipf - _step__MAX","yv5s-coco-zipf - map","yv5s-coco-zipf - map__MIN","yv5s-coco-zipf - map__MAX"
"27","337","337","337","0.21043583750724792","0.21043583750724792","0.21043583750724792","337","337","337","0.19967952370643616","0.19967952370643616","0.19967952370643616","337","337","337","0.1877473784762115","0.1877473784762115","0.1877473784762115"
"28","349","349","349","0.2107279747724533","0.2107279747724533","0.2107279747724533","349","349","349","0.20590899884700775","0.20590899884700775","0.20590899884700775","349","349","349","0.19722322273953174","0.19722322273953174","0.19722322273953174"
"29","362","362","362","0.2136726677417755","0.2136726677417755","0.2136726677417755","362","362","362","0.19396838545799255","0.19396838545799255","0.19396838545799255","362","362","362","0.19902596707030976","0.19902596707030976","0.19902596707030976"
"30","374","374","374","0.21513861417770386","0.21513861417770386","0.21513861417770386","374","374","374","0.19715569913387299","0.19715569913387299","0.19715569913387299","374","374","374","0.19292625951250858","0.19292625951250858","0.19292625951250858"
"31","386","386","386","0.21474005281925201","0.21474005281925201","0.21474005281925201","386","386","386","0.19746741652488708","0.19746741652488708","0.19746741652488708","386","386","386","0.20866484271551522","0.20866484271551522","0.20866484271551522"
"32","398","398","398","0.2158345729112625","0.2158345729112625","0.2158345729112625","398","398","398","0.2106708139181137","0.2106708139181137","0.2106708139181137","398","398","398","0.2028007028084607","0.2028007028084607","0.2028007028084607"
"33","410","410","410","0.2260274589061737","0.2260274589061737","0.2260274589061737","410","410","410","0.20994961261749268","0.20994961261749268","0.20994961261749268","410","410","410","0.20881295590244237","0.20881295590244237","0.20881295590244237"
"34","422","422","422","0.21932382881641388","0.21932382881641388","0.21932382881641388","422","422","422","0.2232959121465683","0.2232959121465683","0.2232959121465683","422","422","422","0.21261248700806265","0.21261248700806265","0.21261248700806265"
"35","434","434","434","0.22180905938148499","0.22180905938148499","0.22180905938148499","434","434","434","0.2200937271118164","0.2200937271118164","0.2200937271118164","434","434","434","0.2128245952431954","0.2128245952431954","0.2128245952431954"
"36","446","446","446","0.2286878079175949","0.2286878079175949","0.2286878079175949","446","446","446","0.22689765691757202","0.22689765691757202","0.22689765691757202","446","446","446","0.22144977659460155","0.22144977659460155","0.22144977659460155"
"37","458","458","458","0.2189844697713852","0.2189844697713852","0.2189844697713852","458","458","458","0.22940406203269958","0.22940406203269958","0.22940406203269958","458","458","458","0.22960299667217773","0.22960299667217773","0.22960299667217773"
"38","470","470","470","0.2206045389175415","0.2206045389175415","0.2206045389175415","470","470","470","0.22833353281021118","0.22833353281021118","0.22833353281021118","470","470","470","0.20643561059211626","0.20643561059211626","0.20643561059211626"
"39","483","483","483","0.22847475111484528","0.22847475111484528","0.22847475111484528","483","483","483","0.21332776546478271","0.21332776546478271","0.21332776546478271","483","483","483","0.21380370008011892","0.21380370008011892","0.21380370008011892"
"40","495","495","495","0.2423376441001892","0.2423376441001892","0.2423376441001892","495","495","495","0.23638023436069489","0.23638023436069489","0.23638023436069489","495","495","495","0.20553182363584277","0.20553182363584277","0.20553182363584277"
"41","507","507","507","0.2170701026916504","0.2170701026916504","0.2170701026916504","507","507","507","0.23534773290157318","0.23534773290157318","0.23534773290157318","507","507","507","0.22153333916424625","0.22153333916424625","0.22153333916424625"
"42","519","519","519","0.2321300059556961","0.2321300059556961","0.2321300059556961","519","519","519","0.23244856297969818","0.23244856297969818","0.23244856297969818","519","519","519","0.22423894079608012","0.22423894079608012","0.22423894079608012"
"43","531","531","531","0.22880981862545013","0.22880981862545013","0.22880981862545013","531","531","531","0.23201443254947662","0.23201443254947662","0.23201443254947662","531","531","531","0.23107117073175412","0.23107117073175412","0.23107117073175412"
"44","543","543","543","0.2234875112771988","0.2234875112771988","0.2234875112771988","543","543","543","0.23156295716762543","0.23156295716762543","0.23156295716762543","543","543","543","0.2354581373235796","0.2354581373235796","0.2354581373235796"
"45","555","555","555","0.2345072627067566","0.2345072627067566","0.2345072627067566","555","555","555","0.2414236217737198","0.2414236217737198","0.2414236217737198","555","555","555","0.23359576216023178","0.23359576216023178","0.23359576216023178"
"46","567","567","567","0.23758429288864136","0.23758429288864136","0.23758429288864136","567","567","567","0.21708624064922333","0.21708624064922333","0.21708624064922333","567","567","567","0.22798667786674445","0.22798667786674445","0.22798667786674445"
"47","579","579","579","0.23565049469470978","0.23565049469470978","0.23565049469470978","579","579","579","0.24189046025276184","0.24189046025276184","0.24189046025276184","579","579","579","0.2368990627319534","0.2368990627319534","0.2368990627319534"
"48","591","591","591","0.24437977373600006","0.24437977373600006","0.24437977373600006","591","591","591","0.24218866229057312","0.24218866229057312","0.24218866229057312","591","591","591","0.2077873540653699","0.2077873540653699","0.2077873540653699"
"49","604","604","604","0.23982857167720795","0.23982857167720795","0.23982857167720795","604","604","604","0.24242329597473145","0.24242329597473145","0.24242329597473145","604","604","604","0.24028785829646224","0.24028785829646224","0.24028785829646224"
"50","616","616","616","0.23012134432792664","0.23012134432792664","0.23012134432792664","616","616","616","0.22221456468105316","0.22221456468105316","0.22221456468105316","616","616","616","0.21849965485609768","0.21849965485609768","0.21849965485609768"
"51","628","628","628","0.24475109577178955","0.24475109577178955","0.24475109577178955","628","628","628","0.24472728371620178","0.24472728371620178","0.24472728371620178","628","628","628","0.24764415381598043","0.24764415381598043","0.24764415381598043"
"52","640","640","640","0.2427620142698288","0.2427620142698288","0.2427620142698288","640","640","640","0.2351733297109604","0.2351733297109604","0.2351733297109604","640","640","640","0.24202023138246923","0.24202023138246923","0.24202023138246923"
"53","652","652","652","0.25524473190307617","0.25524473190307617","0.25524473190307617","652","652","652","0.2334374189376831","0.2334374189376831","0.2334374189376831","652","652","652","0.2259059805694681","0.2259059805694681","0.2259059805694681"
"54","664","664","664","0.2588411569595337","0.2588411569595337","0.2588411569595337","664","664","664","0.24624256789684296","0.24624256789684296","0.24624256789684296","664","664","664","0.24259969291551098","0.24259969291551098","0.24259969291551098"
"55","676","676","676","0.2502860724925995","0.2502860724925995","0.2502860724925995","676","676","676","0.24116134643554688","0.24116134643554688","0.24116134643554688","676","676","676","0.24144022557122125","0.24144022557122125","0.24144022557122125"
"56","688","688","688","0.2532563805580139","0.2532563805580139","0.2532563805580139","688","688","688","0.23761455714702606","0.23761455714702606","0.23761455714702606","688","688","688","0.23147886900538248","0.23147886900538248","0.23147886900538248"
"57","700","700","700","0.2648996114730835","0.2648996114730835","0.2648996114730835","700","700","700","0.25969967246055603","0.25969967246055603","0.25969967246055603","700","700","700","0.23944991128937168","0.23944991128937168","0.23944991128937168"
"58","712","712","712","0.2536306381225586","0.2536306381225586","0.2536306381225586","712","712","712","0.24725136160850525","0.24725136160850525","0.24725136160850525","712","712","712","0.2459424063190677","0.2459424063190677","0.2459424063190677"
"59","725","725","725","0.2573395371437073","0.2573395371437073","0.2573395371437073","725","725","725","0.2504810392856598","0.2504810392856598","0.2504810392856598","725","725","725","0.2392459818527371","0.2392459818527371","0.2392459818527371"
"60","737","737","737","0.2436857670545578","0.2436857670545578","0.2436857670545578","737","737","737","0.24429771304130554","0.24429771304130554","0.24429771304130554","737","737","737","0.25562642054264895","0.25562642054264895","0.25562642054264895"
"61","749","749","749","0.24809429049491882","0.24809429049491882","0.24809429049491882","749","749","749","0.24950779974460602","0.24950779974460602","0.24950779974460602","749","749","749","0.2463826407400531","0.2463826407400531","0.2463826407400531"
"62","761","761","761","0.2605019509792328","0.2605019509792328","0.2605019509792328","761","761","761","0.2505558133125305","0.2505558133125305","0.2505558133125305","761","761","761","0.24035615016971962","0.24035615016971962","0.24035615016971962"
"63","773","773","773","0.25882142782211304","0.25882142782211304","0.25882142782211304","773","773","773","0.2476508915424347","0.2476508915424347","0.2476508915424347","773","773","773","0.23956253206350558","0.23956253206350558","0.23956253206350558"
"64","785","785","785","0.25060510635375977","0.25060510635375977","0.25060510635375977","785","785","785","0.2278260886669159","0.2278260886669159","0.2278260886669159","785","785","785","0.2410369967012344","0.2410369967012344","0.2410369967012344"
"65","797","797","797","0.2468997836112976","0.2468997836112976","0.2468997836112976","797","797","797","0.2627660930156708","0.2627660930156708","0.2627660930156708","797","797","797","0.2577327967114571","0.2577327967114571","0.2577327967114571"
"66","809","809","809","0.24479489028453827","0.24479489028453827","0.24479489028453827","809","809","809","0.2466070055961609","0.2466070055961609","0.2466070055961609","809","809","809","0.24694275998054946","0.24694275998054946","0.24694275998054946"
"67","821","821","821","0.2654649317264557","0.2654649317264557","0.2654649317264557","821","821","821","0.24085962772369385","0.24085962772369385","0.24085962772369385","821","821","821","0.25484937469318086","0.25484937469318086","0.25484937469318086"
"68","833","833","833","0.2662288248538971","0.2662288248538971","0.2662288248538971","833","833","833","0.2650529444217682","0.2650529444217682","0.2650529444217682","833","833","833","0.25411836591273507","0.25411836591273507","0.25411836591273507"
"69","846","846","846","0.23658771812915802","0.23658771812915802","0.23658771812915802","846","846","846","0.2361060380935669","0.2361060380935669","0.2361060380935669","846","846","846","0.25218812765704907","0.25218812765704907","0.25218812765704907"
"70","858","858","858","0.2556227743625641","0.2556227743625641","0.2556227743625641","858","858","858","0.25175711512565613","0.25175711512565613","0.25175711512565613","858","858","858","0.24740824375840662","0.24740824375840662","0.24740824375840662"
"71","870","870","870","0.26877647638320923","0.26877647638320923","0.26877647638320923","870","870","870","0.24940356612205505","0.24940356612205505","0.24940356612205505","870","870","870","0.25120186132563704","0.25120186132563704","0.25120186132563704"
"72","882","882","882","0.27086564898490906","0.27086564898490906","0.27086564898490906","882","882","882","0.24695618450641632","0.24695618450641632","0.24695618450641632","882","882","882","0.2659797285567448","0.2659797285567448","0.2659797285567448"
"73","894","894","894","0.2659003734588623","0.2659003734588623","0.2659003734588623","894","894","894","0.2513595521450043","0.2513595521450043","0.2513595521450043","894","894","894","0.24497873704886303","0.24497873704886303","0.24497873704886303"
"74","906","906","906","0.2521117031574249","0.2521117031574249","0.2521117031574249","906","906","906","0.25466951727867126","0.25466951727867126","0.25466951727867126","906","906","906","0.2581557522285107","0.2581557522285107","0.2581557522285107"
"75","918","918","918","0.26815712451934814","0.26815712451934814","0.26815712451934814","918","918","918","0.2526756823062897","0.2526756823062897","0.2526756823062897","918","918","918","0.2502939046456834","0.2502939046456834","0.2502939046456834"
"76","930","930","930","0.24385063350200653","0.24385063350200653","0.24385063350200653","930","930","930","0.24730147421360016","0.24730147421360016","0.24730147421360016","930","930","930","0.24392118791357129","0.24392118791357129","0.24392118791357129"
"77","942","942","942","0.2486230581998825","0.2486230581998825","0.2486230581998825","942","942","942","0.2609606683254242","0.2609606683254242","0.2609606683254242","942","942","942","0.2661397469954419","0.2661397469954419","0.2661397469954419"
"78","954","954","954","0.2648122012615204","0.2648122012615204","0.2648122012615204","954","954","954","0.26091116666793823","0.26091116666793823","0.26091116666793823","954","954","954","0.25877881530733204","0.25877881530733204","0.25877881530733204"
"79","967","967","967","0.26815202832221985","0.26815202832221985","0.26815202832221985","967","967","967","0.2590681314468384","0.2590681314468384","0.2590681314468384","967","967","967","0.25955710979292296","0.25955710979292296","0.25955710979292296"
"80","979","979","979","0.261091023683548","0.261091023683548","0.261091023683548","979","979","979","0.2487303763628006","0.2487303763628006","0.2487303763628006","979","979","979","0.2658664820277444","0.2658664820277444","0.2658664820277444"
"81","991","991","991","0.2573908269405365","0.2573908269405365","0.2573908269405365","991","991","991","0.268599271774292","0.268599271774292","0.268599271774292","991","991","991","0.2645328118822728","0.2645328118822728","0.2645328118822728"
"82","1003","1003","1003","0.2577017545700073","0.2577017545700073","0.2577017545700073","1003","1003","1003","0.2699856460094452","0.2699856460094452","0.2699856460094452","1003","1003","1003","0.2514249454971695","0.2514249454971695","0.2514249454971695"
"83","1015","1015","1015","0.2627686560153961","0.2627686560153961","0.2627686560153961","1015","1015","1015","0.2632133662700653","0.2632133662700653","0.2632133662700653","1015","1015","1015","0.2641261616532047","0.2641261616532047","0.2641261616532047"
"84","1027","1027","1027","0.2654457092285156","0.2654457092285156","0.2654457092285156","1027","1027","1027","0.2598510980606079","0.2598510980606079","0.2598510980606079","1027","1027","1027","0.2654760325444905","0.2654760325444905","0.2654760325444905"
"85","1039","1039","1039","0.27099180221557617","0.27099180221557617","0.27099180221557617","1039","1039","1039","0.2723945379257202","0.2723945379257202","0.2723945379257202","1039","1039","1039","0.25039941822526535","0.25039941822526535","0.25039941822526535"
"86","1051","1051","1051","0.26860320568084717","0.26860320568084717","0.26860320568084717","1051","1051","1051","0.2592790126800537","0.2592790126800537","0.2592790126800537","1051","1051","1051","0.2687806268181375","0.2687806268181375","0.2687806268181375"
"87","1063","1063","1063","0.26696521043777466","0.26696521043777466","0.26696521043777466","1063","1063","1063","0.27767300605773926","0.27767300605773926","0.27767300605773926","1063","1063","1063","0.24976637086479683","0.24976637086479683","0.24976637086479683"
"88","1075","1075","1075","0.26331278681755066","0.26331278681755066","0.26331278681755066","1075","1075","1075","0.27309495210647583","0.27309495210647583","0.27309495210647583","1075","1075","1075","0.2753487492679371","0.2753487492679371","0.2753487492679371"
"89","1088","1088","1088","0.2640519440174103","0.2640519440174103","0.2640519440174103","1088","1088","1088","0.2580844461917877","0.2580844461917877","0.2580844461917877","1088","1088","1088","0.2613162369861587","0.2613162369861587","0.2613162369861587"
"90","1100","1100","1100","0.25449734926223755","0.25449734926223755","0.25449734926223755","1100","1100","1100","0.27080684900283813","0.27080684900283813","0.27080684900283813","1100","1100","1100","0.25990505793824964","0.25990505793824964","0.25990505793824964"
"91","1112","1112","1112","0.26522618532180786","0.26522618532180786","0.26522618532180786","1112","1112","1112","0.2607429027557373","0.2607429027557373","0.2607429027557373","1112","1112","1112","0.2744435292239256","0.2744435292239256","0.2744435292239256"
"92","1124","1124","1124","0.25804340839385986","0.25804340839385986","0.25804340839385986","1124","1124","1124","0.24879306554794312","0.24879306554794312","0.24879306554794312","1124","1124","1124","0.24961021267305128","0.24961021267305128","0.24961021267305128"
"93","1136","1136","1136","0.2706056535243988","0.2706056535243988","0.2706056535243988","1136","1136","1136","0.2698446810245514","0.2698446810245514","0.2698446810245514","1136","1136","1136","0.2638066237430078","0.2638066237430078","0.2638066237430078"
"94","1148","1148","1148","0.278703510761261","0.278703510761261","0.278703510761261","1148","1148","1148","0.26484018564224243","0.26484018564224243","0.26484018564224243","1148","1148","1148","0.2600990494825983","0.2600990494825983","0.2600990494825983"
"95","1160","1160","1160","0.2730346918106079","0.2730346918106079","0.2730346918106079","1160","1160","1160","0.2694542109966278","0.2694542109966278","0.2694542109966278","1160","1160","1160","0.24916697063710538","0.24916697063710538","0.24916697063710538"
"96","1172","1172","1172","0.2722454071044922","0.2722454071044922","0.2722454071044922","1172","1172","1172","0.26578521728515625","0.26578521728515625","0.26578521728515625","1172","1172","1172","0.27775454838100505","0.27775454838100505","0.27775454838100505"
"97","1184","1184","1184","0.272176057100296","0.272176057100296","0.272176057100296","1184","1184","1184","0.28737640380859375","0.28737640380859375","0.28737640380859375","1184","1184","1184","0.26647414940454694","0.26647414940454694","0.26647414940454694"
"98","1196","1196","1196","0.27006787061691284","0.27006787061691284","0.27006787061691284","1196","1196","1196","0.2681678533554077","0.2681678533554077","0.2681678533554077","1196","1196","1196","0.2726676519637849","0.2726676519637849","0.2726676519637849"
"99","1209","1209","1209","0.280336856842041","0.280336856842041","0.280336856842041","1209","1209","1209","0.27052339911460876","0.27052339911460876","0.27052339911460876","1209","1209","1209","0.26598245661163533","0.26598245661163533","0.26598245661163533"
"100","1221","1221","1221","0.2755892276763916","0.2755892276763916","0.2755892276763916","1221","1221","1221","0.27706268429756165","0.27706268429756165","0.27706268429756165","1221","1221","1221","0.27456446630770126","0.27456446630770126","0.27456446630770126"
"101","1233","1233","1233","0.26978302001953125","0.26978302001953125","0.26978302001953125","1233","1233","1233","0.26398003101348877","0.26398003101348877","0.26398003101348877","1233","1233","1233","0.2697410901195488","0.2697410901195488","0.2697410901195488"
"102","1245","1245","1245","0.2790244221687317","0.2790244221687317","0.2790244221687317","1245","1245","1245","0.275808185338974","0.275808185338974","0.275808185338974","1245","1245","1245","0.2711367711971883","0.2711367711971883","0.2711367711971883"
"103","1257","1257","1257","0.26795926690101624","0.26795926690101624","0.26795926690101624","1257","1257","1257","0.2669537365436554","0.2669537365436554","0.2669537365436554","1257","1257","1257","0.2635523227288528","0.2635523227288528","0.2635523227288528"
"104","1269","1269","1269","0.2635250389575958","0.2635250389575958","0.2635250389575958","1269","1269","1269","0.27855584025382996","0.27855584025382996","0.27855584025382996","1269","1269","1269","0.2517991377226097","0.2517991377226097","0.2517991377226097"
"105","1281","1281","1281","0.27533790469169617","0.27533790469169617","0.27533790469169617","1281","1281","1281","0.2751306891441345","0.2751306891441345","0.2751306891441345","1281","1281","1281","0.2710695446886183","0.2710695446886183","0.2710695446886183"
"106","1293","1293","1293","0.2824549674987793","0.2824549674987793","0.2824549674987793","1293","1293","1293","0.2779950201511383","0.2779950201511383","0.2779950201511383","1293","1293","1293","0.27191308490764654","0.27191308490764654","0.27191308490764654"
"107","1305","1305","1305","0.27878835797309875","0.27878835797309875","0.27878835797309875","1305","1305","1305","0.2633051574230194","0.2633051574230194","0.2633051574230194","1305","1305","1305","0.2794295482302749","0.2794295482302749","0.2794295482302749"
"108","1317","1317","1317","0.2789638936519623","0.2789638936519623","0.2789638936519623","1317","1317","1317","0.2782580852508545","0.2782580852508545","0.2782580852508545","1317","1317","1317","0.27087264258245475","0.27087264258245475","0.27087264258245475"
"109","1330","1330","1330","0.25435692071914673","0.25435692071914673","0.25435692071914673","1330","1330","1330","0.27585679292678833","0.27585679292678833","0.27585679292678833","1330","1330","1330","0.27696092906683495","0.27696092906683495","0.27696092906683495"
"110","1342","1342","1342","0.28313684463500977","0.28313684463500977","0.28313684463500977","1342","1342","1342","0.2640218138694763","0.2640218138694763","0.2640218138694763","1342","1342","1342","0.27208775229969434","0.27208775229969434","0.27208775229969434"
"111","1354","1354","1354","0.2686273753643036","0.2686273753643036","0.2686273753643036","1354","1354","1354","0.278194397687912","0.278194397687912","0.278194397687912","1354","1354","1354","0.28884451645361986","0.28884451645361986","0.28884451645361986"
"112","1366","1366","1366","0.2556981146335602","0.2556981146335602","0.2556981146335602","1366","1366","1366","0.2724696695804596","0.2724696695804596","0.2724696695804596","1366","1366","1366","0.28103311991538554","0.28103311991538554","0.28103311991538554"
"113","1378","1378","1378","0.2570093274116516","0.2570093274116516","0.2570093274116516","1378","1378","1378","0.29128000140190125","0.29128000140190125","0.29128000140190125","1378","1378","1378","0.2847039970648903","0.2847039970648903","0.2847039970648903"
"114","1390","1390","1390","0.2735361158847809","0.2735361158847809","0.2735361158847809","1390","1390","1390","0.26820358633995056","0.26820358633995056","0.26820358633995056","1390","1390","1390","0.29170381490907876","0.29170381490907876","0.29170381490907876"
"115","1402","1402","1402","0.2865186035633087","0.2865186035633087","0.2865186035633087","1402","1402","1402","0.2795620560646057","0.2795620560646057","0.2795620560646057","1402","1402","1402","0.28488034176230154","0.28488034176230154","0.28488034176230154"
"116","1414","1414","1414","0.2637293338775635","0.2637293338775635","0.2637293338775635","1414","1414","1414","0.2684652805328369","0.2684652805328369","0.2684652805328369","1414","1414","1414","0.2804372026685479","0.2804372026685479","0.2804372026685479"
"117","1426","1426","1426","0.2709944248199463","0.2709944248199463","0.2709944248199463","1426","1426","1426","0.25964394211769104","0.25964394211769104","0.25964394211769104","1426","1426","1426","0.2688582676035224","0.2688582676035224","0.2688582676035224"
"118","1438","1438","1438","0.2836667597293854","0.2836667597293854","0.2836667597293854","1438","1438","1438","0.2762468457221985","0.2762468457221985","0.2762468457221985","1438","1438","1438","0.2710021271422488","0.2710021271422488","0.2710021271422488"
"119","1451","1451","1451","0.2861887812614441","0.2861887812614441","0.2861887812614441","1451","1451","1451","0.25395601987838745","0.25395601987838745","0.25395601987838745","1451","1451","1451","0.27618136884376165","0.27618136884376165","0.27618136884376165"
"120","1463","1463","1463","0.27951663732528687","0.27951663732528687","0.27951663732528687","1463","1463","1463","0.27618303894996643","0.27618303894996643","0.27618303894996643","1463","1463","1463","0.27581673092608655","0.27581673092608655","0.27581673092608655"
